https://assistant.google.com/services/a/uid/000000e0ea9c992f,Google Podcasts,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://android.jlelse.eu/create-your-first-google-assitant-application-9a51cea37728,Create Your First Google Assistant Application,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://medium.com/google-developers/use-video-loops-with-interactive-canvas-dc7503e95c6a,Use video loops with Interactive Canvas,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.qwiklabs.com/quests/61,Build Interactive Apps with Google Assistant,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://developers.google.com/actions/transactions/digital/dev-guide-digital,Build digital transactions,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.udemy.com/course/actions-on-google-app-google-assistant/,Google Assistant development with Actions on Google,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.udemy.com/course/buildactionsforgoogleassistant/,Build Actions for Google Assistant,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://assistant.google.com/services/a/uid/000000c9bec03997,TuneIn,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://assistant.google.com/services/a/uid/0000003b4796e827,Random Number,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://medium.com/google-developer-experts/chord-assist-building-an-accessible-smart-guitar-for-the-mute-deaf-and-blind-4f81669ab663,Chord Assist: Building an accessible smart guitar for the blind, deaf and mute,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://assistant.google.com/services/a/uid/0000002a8e07d537,Netflix,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://medium.com/google-developer-experts/the-full-stack-guide-to-actions-for-google-assistant-e1765edd075b,The Full-Stack Guide to Actions for Google Assistant,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://assistant.google.com/services/a/uid/00000038e95bb789,Fun Tricks,https://github.com/ravirupareliya/awesome-actions-on-google#readme,Actions on Google error: <HTTPError 404: 'Not Found'> | reason: Not Found
