http://selendroid.io/inspector.html,Selendroid Inspector,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 525: '<none>'> | reason: <none>
https://appiumpro.com/editions/34,Simulating Hardware Keys And Key Events On Android,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/75,Automating Custom IoT Devices With Appium, Part 2,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/44,Working With Web Components (Shadow DOM),https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/35,Writing XPath Queries That Work,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/76,Testing React Native Apps with Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/94,Using the Appium Events API,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/45,How to Automate Siri Voice Commands Using Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/36,Using The 'nativeWebTap' Capability,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/95,The 'Android Data Matcher' Locator Strategy,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/104,Simulating Different Network Conditions For Virtual Devices,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/6,Testing iOS App Upgrades,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/46,Sending Arbitrary Keystrokes With The Actions API,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/65,Capturing Network Traffic in Java with Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/96,Working With Cookies,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/105,Paid Tools And Services For Mobile App Performance Testing,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/25,Making Your Appium Tests Fast and Reliable, Part 7: Disabling Animations,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/66,Automating System Apps with Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/14,How to Automate a Pop Rock Band,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/85,Batching Appium Commands Using Execute Driver Script to Speed Up Tests,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/26,Making Your Appium Tests Fast and Reliable, Part 8: Mocking External Services,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/15,Testing iOS Push Notifications,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/86,Connecting Directly to Appium Hosts in Distributed Environments,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/16,Automating the Clipboard on iOS and Android,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://appiumpro.com/editions/55,Using Mobile Execution Commands to Continuously Stream Device Logs with Appium,https://github.com/SrinivasanTarget/awesome-appium#readme,Appium error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
