http://matasano.com,Matasano Security,https://github.com/paragonie/awesome-appsec#readme,Application Security error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://blog.astrumfutura.com/2013/04/20-point-list-for-preventing-cross-site-scripting-in-php,20 Point List For Preventing Cross-Site Scripting In PHP,https://github.com/paragonie/awesome-appsec#readme,Application Security error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.cyberciti.biz/tips/php-security-best-practices-tutorial.html,25 PHP Security Best Practices For Sys Admins,https://github.com/paragonie/awesome-appsec#readme,Application Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blog.pinboard.in/2013/04/the_matasano_crypto_challenges,The introduction,https://github.com/paragonie/awesome-appsec#readme,Application Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.cs.fsu.edu/~redwood/OffensiveComputerSecurity/,Offensive Computer Security (CIS 4930) FSU,https://github.com/paragonie/awesome-appsec#readme,Application Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://report-uri.io,report-uri.io,https://github.com/paragonie/awesome-appsec#readme,Application Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.cs.fsu.edu/~redwood/OffensiveComputerSecurity/lectures.html,lectures,https://github.com/paragonie/awesome-appsec#readme,Application Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.hackthissite.org,Hack This Site!,https://github.com/paragonie/awesome-appsec#readme,Application Security error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://bkimminich.github.io/juice-shop,Juice Shop,https://github.com/paragonie/awesome-appsec#readme,Application Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blog.risingstack.com/node-js-security-checklist/,Node.js Security Checklist - Rising Stack Blog,https://github.com/paragonie/awesome-appsec#readme,Application Security error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://www.nccgroup.trust/us/about-us/newsroom-and-events/blog/,NCC Group - Blog,https://github.com/paragonie/awesome-appsec#readme,Application Security error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://leanpub.com/nodejssecurity,Essential Node.js Security,https://github.com/paragonie/awesome-appsec#readme,Application Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://nodegoat.herokuapp.com/tutorial,tutorials,https://github.com/paragonie/awesome-appsec#readme,Application Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://liftsecurity.io/training,Security Training by ^Lift Security,https://github.com/paragonie/awesome-appsec#readme,Application Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://nodesecurity.io,Node Security Project,https://github.com/paragonie/awesome-appsec#readme,Application Security error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://lzone.de/cheat-sheet/Security-News-Feeds,Security News Feeds Cheat-Sheet,https://github.com/paragonie/awesome-appsec#readme,Application Security error: <HTTPError 521: '<none>'> | reason: <none>
https://www.securecoding.cert.org/confluence/pages/viewpage.action?pageId=637,SEI CERT C++ Coding Standard,https://github.com/paragonie/awesome-appsec#readme,Application Security error: <HTTPError 404: '404'> | reason: 404
http://blog.astrumfutura.com,Pádraic Brady's Blog,https://github.com/paragonie/awesome-appsec#readme,Application Security error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.owasp.org/index.php/OWASP_Serverless_Goat,OWASP ServerlessGoat,https://github.com/paragonie/awesome-appsec#readme,Application Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
