https://hub.docker.com/r/archlinux/base/,archlinux/base,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://travis-ci.com/PandaFoss/Awesome-Arch,,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://telesto.ai,Nandor Magyar,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://pandafoss.github.io/,Max Ferrer,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://osdn.net/projects/pkgbrowser,PkgBrowser,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://sourceforge.net/projects/morpheusarch-lxqt/files/,MorpheusArch Linux,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://ar.linkedin.com/in/ulisesjcf,Ulises Jeremias Cornejo Fandos,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.linhes.org/,LinHES,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
https://talkingarch.tk/,TalkingArch,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://xyne.archlinux.ca/projects/pbget/,pbget,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://sourceforge.net/projects/rasparch/,RaspArch,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://xyne.archlinux.ca/projects/bauerbill/,Bauerbill,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://git.seppia.net/repofish.git,repofish,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://kmkeen.com/pkgbuild-watch/,pkgbuild-watch,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
https://xyne.archlinux.ca/projects/python3-aur,python3-aur,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.netrunner.com/netrunner-rolling-release/,Netrunner Rolling,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/puppyrusa/,PuppyRus-A,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/telisc-os/,TeLiSc OS,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/bluestarlinux/,Bluestar Linux,https://github.com/PandaFoss/Awesome-Arch#readme,Arch-based Projects error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
