https://academic.oup.com/bioinformatics/article/29/24/3241/194040,paper-2013,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://mummer.sourceforge.net/MUMmer3.pdf,paper-2004,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://mummer.sourceforge.net,web,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://academic.oup.com/bioinformatics/article/27/1/130/201972,paper-2010,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://samstat.sourceforge.net,web,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://peerj.com/collections/45-bioinformatics-software/,The PeerJ Bioinformatics Software Tools Collection,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.tandfonline.com/doi/full/10.4161/fly.19695,paper-2012,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://academic.oup.com/bioinformatics/article/28/14/1919/218826,paper-2012,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.opiniomics.org/,Opiniomics,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://academic.oup.com/nar/article/42/9/e75/1249448,paper-2014,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.biorxiv.org/content/10.1101/343970v1.abstract,paper-2018,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://watson.nci.nih.gov/cran_mirror/web/packages/RCircos/index.html,web,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://academic.oup.com/bioinformatics/article/18/3/452/236691,paper-2002,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://bioinformatics.oxfordjournals.org/content/early/2015/10/06/bioinformatics.btv573.short?rss=1,paper-2016,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://doi.org/10.1093/bioinformatics/btaf640,paper-2025,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://bowtie-bio.sourceforge.net/bowtie2,web,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/doi/10.1145/3774934.3786421,paper-2026,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btaa777/5904262,paper-2020,https://github.com/danielecook/Awesome-Bioinformatics#readme,Bioinformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
