http://g.oswego.edu/pub/misc/malloc.c,dlmalloc,https://github.com/inputsh/awesome-c#readme,C error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://mcpp.sourceforge.net/,mcpp,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://bitbucket.org/MDukhan/yeppp,Yeppp!,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://cunit.sourceforge.net/,CUnit,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/libmicrohttpd/,libmicrohttpd,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/gperf/,GNU gperf,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.mpfr.org/index.html,GNU MPFR,https://github.com/inputsh/awesome-c#readme,C error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://sourceforge.net/projects/giflib/,giflib,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://cedet.sourceforge.net/,CEDET,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.gnu.org/licenses/lgpl-3.0.html,GNU LGPL3,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://directory.fsf.org/wiki/License:BSD-3-Clause,3-clause BSD,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://notabug.org/koz.ross/awesome-c,new platform,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.gnu.org/software/libffcall/,GNU Libffcall,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/mpria/,GNU MPRIA,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.pcre.org/,PCRE,https://github.com/inputsh/awesome-c#readme,C error: RemoteDisconnected('Remote end closed connection without response') | reason: 
http://valloric.github.io/YouCompleteMe/,YouCompleteMe,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://bstring.sourceforge.net/,bstrlib,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://astyle.sourceforge.net/,Artistic Style,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://unqlite.org/,UnQLite,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.gnu.org/software/gsl/,GSL,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/kissfft/,KISS FFT,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/complexity/,Complexity,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.gnu.org/licenses/gpl-3.0.html,GNU GPL3 or later,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://ccodearchive.net/,CCAN,https://github.com/inputsh/awesome-c#readme,C error: <HTTPError 520: '<none>'> | reason: <none>
