https://www.npmjs.com/package/@rdkit/rdkit,RDKit.js,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.mayachemtools.org/index.html,MayaChemTools,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/pymol/,PyMOL,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://jmol.sourceforge.net/,Jmol,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://m3g.iqm.unicamp.br/packmol/home.shtml,Packmol,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://ambit.sourceforge.net/,ambit,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://meilerlab.org/index.php/bclcommons/show/b_apps_id/1,BCL::Commons,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.rguha.net/index.html,2,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
https://pubs.acs.org/journal/jcisd8,Journal of Chemical Information and Modeling (ACS Publications),https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/smina/,smina,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/cdk/,CDK (Chemistry Development Kit),https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://bigchem.eu/alllectures,BigChem,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://bigchem.eu/,BigChem,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://onlinelibrary.wiley.com/doi/book/10.1002/9781118742785,Chemoinformatics for Drug Discovery,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://onlinelibrary.wiley.com/doi/book/10.1002/9783527628766,Molecular Descriptors for Chemoinformatics,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://openbabel.org/wiki/Main_Page,Open Babel,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://molssi.org/software-search/,MolSSI Molecular Software Database,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://blog.rguha.net/,So much to do, so little time - Trying to squeeze sense out of chemical data,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
http://blog.rguha.net/?page_id=8,Rajarshi Guha,https://github.com/hsiaoyi0504/awesome-cheminformatics#readme,Cheminformatics error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
