https://preciousplastic.com/en/videos/build/extrusion/,Precious Plastic,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.pharmtech.com/spectrophotometric-determination-lead,Spectrophotometric Determination of Lead,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.appropedia.org/Category:MOST,MOST,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://collabfinder.com/,CollabFinder,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 530: '<none>'> | reason: <none>
https://peer.asee.org/citizen-engineering-disrupting-expertise-in-classroom-and-community,Citizen Engineering: Disrupting Expertise in Classroom and Community,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://openlab-blueprint.org/,OpenLab-Blueprint,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.researchgate.net/publication/263120833_Institutions_for_Civic_Technoscience_How_Critical_Making_is_Transforming_Environmental_Research,Institutions for Civic Technoscience: How Critical Making is Transforming Environmental Research,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://opentrons.com/,OpenTrons,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.jstor.org/stable/pdf/27896218.pdf,Citizen Science as an Ecological Research Tool: Challenges and Benefits,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://online.liebertpub.com/doi/10.1089/ees.2016.0223,Academic Research in the 21st Century: Maintaining Scientific Integrity in a Climate of Perverse Incentives and Hypercompetition,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.raspberrypi.org/products/pi-zero/,Raspberry Pi Zero,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://crowdsourcing-toolkit.sites.usa.gov/,Federal Crowdsourcing and Citizen Science Toolkit,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.powercube.net/,The Powercube,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://bio.academany.org/2015/labs/luzern/final_project.html,Welcome to How To Grow (almost) Anything in GaudiLabs - Switzerland,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.kickstarter.com/projects/angelrodriguez/raspberry-shake-your-personal-seismograph,Raspberry Shake,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.librarything.com/,LibraryThing,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.worldpece.org/,PECE,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.syntechbio.com/,SynthTechBio Network,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.innovative-citizen.de/,Innovative Citizen,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.lhc-ilc.physik.uni-bonn.de/research-groups/experimental-physics/prof.-k.-desch/research/airborne-wind-energy,AWEsome,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.biorxiv.org/content/early/2016/08/30/072207.full.pdf+html,Paperfuge,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://ember.autodesk.com/,Ember,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.appropedia.org/3D_printable_science_equipment,3D Printable Science Equipment,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.realtimerendering.com/erich/minecraft/public/mineways/,Mineways,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.herbsociety.org/support/grants-scholarships/grant-details.html,Herb Society of America,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 404: 'File Not Found'> | reason: File Not Found
http://www.hillsboro-oregon.gov/departments/library/explore-the-collections/library-of-things,Hillsboro Library of Things,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://microbewiki.kenyon.edu/index.php/MicrobeWiki,Microbe Wiki,https://github.com/dylanrees/citizen-science#readme,Citizen Science error: TimeoutError('The read operation timed out') | reason: 
