https://medium.com/@MartinCracauer/a-gentle-introduction-to-compile-time-computing-part-3-scientific-units-8e41d8a727ca,Part 3 (Safely dealing with scientific units of variables at compile time),https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://opensource.franz.com/preamble.html,LLGPL,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.gnu.org/licenses/old-licenses/gpl-2.0.html,licence,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://notabug.org/quasus/lserver/,lserver,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://series.sourceforge.net/,series,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://maxima.sourceforge.net/,maxima,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://tiltontec.com/,algebra learning system,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0399,source,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://quicklisp.org/beta/bundles.html,Quicklisp bundles,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'quicklisp.org'. (_ssl.c:1018)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'quicklisp.org'. (_ssl.c:1018)
https://sourceforge.net/p/clocc/hg/ci/default/tree/src/cllib/elisp.lisp,CLOCC's elisp.lisp,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://foil.sourceforge.net/,Foil,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://git.sr.ht/%7Emarcuskammer/cloudinit/tree/main/item/sbcl-nginx.yml,Cloud Init file for SBCL,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 418: "I'm a teapot"> | reason: I'm a teapot
http://www.gnu.org/software/classpath/license.html,Classpath exception,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://framapiaf.org/@frescosecco@mastodon.social/112909105163460836,screenshot,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
https://directory.fsf.org/wiki/License:BSD_3Clause,BSD_3Clause,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://git.sr.ht/~fosskers/sly-overlay,sly-overlay,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: TimeoutError('The read operation timed out') | reason: 
https://git.sr.ht/~q3cpma/cl-json-utils,cl-json-utils,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: TimeoutError('The read operation timed out') | reason: 
https://zenodo.org/communities/cdr/,Zenodo,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://directory.fsf.org/wiki/License:BSD_2Clause,BSD_2Clause,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://directory.fsf.org/wiki/License:Apache2.0,Apache2.0,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://directory.fsf.org/wiki/License:EPLv1.0,EPL 1.0,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://git.gnupg.org/cgi-bin/gitweb.cgi?p=gpgme.git;a=tree;f=lang/cl;h=05151bdf839e513f534a1b423d59332a2e46fd5d;hb=HEAD,gpgme lisp sources,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
http://www.gnu.org/copyleft/gpl.html,GPL3,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://marketplace.visualstudio.com/items?itemName=ailisp.commonlisp-vscode,commonlisp-vscode,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.cliki.net/Web,Cliki,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://marketplace.visualstudio.com/items?itemName=ailisp.strict-paredit,strict-paredit-vscode,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://directory.fsf.org/wiki/License:ArtisticLicense2.0,Artistic License 2.0,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://directory.fsf.org/wiki/License:CPLv1.0,CPL 1.0,https://github.com/CodyReichert/awesome-cl#readme,Common Lisp error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
