https://www.biorxiv.org/content/10.1101/2023.09.11.556673v1,paper-2023,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://huggingface.co/microsoft/BiomedCLIP-PubMedBERT_256-vit_g_14,BiomedCLIP,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: <HTTPError 401: 'Unauthorized'> | reason: Unauthorized
http://deepsea.princeton.edu/,DeepSEA,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.encodeproject.org/,ENCODE,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: <HTTPError 502: 'Bad Gateway'> | reason: Bad Gateway
https://tripod.nih.gov/tox21/challenge/,Tox21,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
https://www.ukbiobank.ac.uk/,UK Biobank,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://lincsproject.org/LINCS/tools/workflows/find-the-best-place-to-obtain-the-lincs-l1000-data,LINCS L1000,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://jaspar.genereg.net/,JASPAR,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://dtp.cancer.gov/discovery_development/nci-60/,NCI60,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
http://www.massbank.jp/,MassBank,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.massbank.jp'. (_ssl.c:1018)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.massbank.jp'. (_ssl.c:1018)
http://www.roadmapepigenomics.org/,ROADMAP Epigenomics,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: <HTTPError 502: 'Bad Gateway'> | reason: Bad Gateway
https://www.cancerrxgene.org/,Genomics of Drug Sensitivity in Cancer (GDSC),https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: <HTTPError 410: 'Gone'> | reason: Gone
https://fantom.gsc.riken.jp/5/,FANTOM5,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://go.drugbank.com/,DrugBank,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://staff.cs.utu.fi/~aijrinas/dti/,Davis kinase inhibitors DB,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://janeliascicomp.github.io/KIBA/,Kinase Inhibitor Bioactivity Data (KIBA),https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://hmdb.ca/,HMDB (Human Metabolome Database),https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://string-db.org/,STRING,https://github.com/inoue0426/awesome-computational-biology#readme,Computational Biology error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
