https://www.construct.net/forum/extending-construct-2/effects-31/webgl-effects-list-51897,Kyatric's Effects,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.construct.net,Construct,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.construct.net/forum,Forums,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.construct.net/en/tutorials/construct-tutorials-2525,Rafael Trigo's Tutorials,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.udemy.com/learn-construct-2-creating-a-pixel-platformer-in-html5/,Udemy: Creating a Pixel Platformer in HTML5!,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://gamejolt.com,GameJolt,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.construct.net/forum/construct-2/how-do-i-18/how-do-i-frequently-asked-ques-41236,FAQ,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.construct.net/blogs/construct-official-blog-1/level-zero-free-construct-2-book-853,Level Zero,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.construct.net/en/forum/game-development/tools-and-resources-27/sprite-font-generator-v3-64038,Sprite Font Generator - v3,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.construct.net/en/make-games/education/resources/ebook,Level Up - The Educator's Edition,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.construct.net/en/forum/construct-3/plugin-sdk-10/c3ide-construct-plugin-ide-141201,C3IDE,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.construct.net/en/make-games/education/resources/curriculum,Construct 3 Starter Curriculum,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://steamdb.info/tech/Engine/Construct/,Games on Steam,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://itch.io/games/tag-construct-2/tag-construct-3,Games on itch.io,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.construct.net/forum/extending-construct-2/addons-29/c2-plugins-and-behaviors-list-42712,Kyatric's Plugins,https://github.com/ConstructCommunity/awesome-construct#readme,Construct 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
