https://codeship.com,codeship,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 502: 'Bad Gateway'> | reason: Bad Gateway
https://developer.mozilla.org/en-US/docs/Mozilla/Developer_guide/Build_Instructions,mozillabuildtools,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://msdn.microsoft.com/en-us/library/bb429476%28VS.80%29.aspx,fxcop,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://pmd.sourceforge.net/pmd-4.3.0/cpd.html,cpd,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://deployplace.com,DeployPlace,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://devopssummit.sys-con.com,devops submit,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://codestriker.sourceforge.net,codestriker,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://ci.testling.com,testling,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: URLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)')) | reason: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
http://msdn.microsoft.com/en-us/library/dd393574.aspx,msbuild,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/web-development/learning-continuous-integration-teamcity-raw,Learning Continuous Integraion with TeamCity,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://wercker.com,wercker,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://findbugs.sourceforge.net,findbugs,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://checkstyle.sourceforge.net,checkstyle,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://xebialabs.com/products/xl-deploy,xl-deploy,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://hub.jazz.net,IBM DevOps Services,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://saltstack.com/community/,SaltStack,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://deepfence.io,Deepfence Enterprise,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://flow.ci/,flow.ci,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.gitploy.io/,Gitploy,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.qaforums.com,qaforums,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.codebrag.com/,Codebrag,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://xebialabs.com/products/xl-release,sl-release,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://tfs.visualstudio.com,teamfoundationservice,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.gnu.org/software/make/,gnumake,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.gnu.org/software/autoconf/,gnuautoconf,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.dbmaestro.com/,dbmaestro,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://monkeytest.it,Monkey Test It,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://app.shippable.com/,shippable,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://nsis.sourceforge.net/Main_Page,NSIS,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://snap-ci.com,snap-ci,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://gridscheduler.sourceforge.net,SGE,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.vmware.com/products/vsphere,vmwarevshpere,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.viewtier.com/index.htm,Parabuild,https://github.com/cicdops/awesome-ciandcd#readme,Continuous Integration and Continuous Delivery error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)
