https://drive.google.com/file/d/0B1ghKa_MYL6meDBHT2NaZGxkNzQ/view?usp=sharing,Download,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://jimgoo.com/flower-power/,Reference,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://lutzroeder.github.io/Netron,Netron,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://apple.github.io/coremltools/generated/coremltools.converters.libsvm.convert.html,LibSVM,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://drive.google.com/file/d/0B1ghKa_MYL6mT1J3T1BEeWx4TWc/view?usp=sharing,Download,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://lausbert.com/2017/08/03/exermote/,Reference,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://drive.google.com/open?id=0B5TjkH3njRqncDJpdDB1Tkl2S2s,Download,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.openu.ac.il/home/hassner/projects/cnn_agegender/,Reference,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://drive.google.com/file/d/0B1ghKa_MYL6mYkNsZHlyc2ZuaFk/view?usp=sharing,Download,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://goo.gl/avdMjD,Download,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 401: 'Unauthorized'> | reason: Unauthorized
http://dl.acm.org/citation.cfm?id=2654889,Reference,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://drive.google.com/file/d/0B1ghKa_MYL6mTlYtRGdXNFlpWDQ/view?usp=sharing,Download,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.openu.ac.il/home/hassner/projects/cnn_emotions/,Reference,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://drive.google.com/open?id=0B1ghKa_MYL6mZ0dITW5uZlgyNTg,Download,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.sciencedirect.com/science/article/pii/S0262885617300355?via%3Dihub,Reference,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://drive.google.com/open?id=0B5TjkH3njRqnVjBPZGRZbkNITjA,Download,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://visiir.lip6.fr/explore,Reference,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.agnosticdev.com/blog-entry/python/using-scikit-learn-and-coreml-create-music-recommendation-engine,Reference,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://apple.github.io/coremltools/generated/coremltools.converters.caffe.convert.html,Caffe,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://apple.github.io/coremltools/generated/coremltools.converters.keras.convert.html,Keras,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://apple.github.io/coremltools/generated/coremltools.converters.xgboost.convert.html,XGBoost,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://apple.github.io/coremltools/generated/coremltools.converters.sklearn.convert.html,Scikit-learn,https://github.com/likedan/Awesome-CoreML-Models#readme,Core ML Models error: <HTTPError 404: 'Not Found'> | reason: Not Found
