https://dotnet.microsoft.com/learn/aspnet,Microsoft Learning Center,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://social.technet.microsoft.com/wiki/contents/articles/35918.asp-net-core-1-0-configure-applicationinsights.aspx,ASP.NET Core 1.0 - Configure ApplicationInsights,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://channel9.msdn.com/Series/aspnetmonsters,ASP.NET Monsters,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://imageprocessor.org,http://imageprocessor.org,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://planning.halomademeapc.com,Demo,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://marketplace.visualstudio.com/items?itemName=GiorgiDalakishvili.EFCoreVisualizer,EFCore.Visualizer,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://docs.asp.net/en/latest/,ASP.NET Core Documentation,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://discoverdot.net,Awesome .NET open source & community resources,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://stackshare.io/tomstaijen/net-continuous-delivery-microservices,.NET Continuous Delivery Microservices,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://www.microsoft.com/net/core,.NET Core SDK,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blogs.msdn.microsoft.com/dotnet/2016/09/26/introducing-net-standard,Introducing .NET Standard 2.0,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://builtwithdot.net,BuiltWithDot.Net,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://digitalmccullough.com/posts/aspnetcore-auth-system-demystified.html,ASP.NET Core 2.0 Authentication and Authorization System Demystified,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://forums.dotnetfoundation.org,.NET Foundation,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://dot.net/ml,http://dot.net/ml,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://stormpath.com/blog/authentication-asp-net-core,Authentication in ASP.NET Core,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blogs.msdn.microsoft.com/dotnet/2016/11/09/net-core-data-access/,.NET Core Data Access,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://xbehave.github.io,http://xbehave.github.io,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://hangfire.io,http://hangfire.io,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blogs.msdn.microsoft.com/visualstudio/2016/12/14/connectdemos-2016-bikesharing360-on-github/,BikeSharing360 Suite of Apps from Microsoft,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://justa.ml,https://justa.ml,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.recaffeinate.co/book,The little ASP.NET Core,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://channel9.msdn.com,Channel9,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.ideliverable.com/blog/getting-started-with-orchard-core-as-a-nuget-package,Getting started with Orchard Core as a NuGet package,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://code.msdn.microsoft.com/How-to-export-HTML-to-PDF-c5afd0ce,How to export HTML to PDF in ASP.NET Core,https://github.com/thangchung/awesome-dotnet-core#readme,Core error: <HTTPError 404: 'Not Found'> | reason: Not Found
