https://cosmos-notifier.decrypto.online,Cosmos Notifier,https://github.com/cosmos/awesome-cosmos#readme,Cosmos SDK error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://cosmos.bigdipper.live/validators,List on BigDipper,https://github.com/cosmos/awesome-cosmos#readme,Cosmos SDK error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://ibc.iobscan.io/,IOBScan,https://github.com/cosmos/awesome-cosmos#readme,Cosmos SDK error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://cosmoshub-testnet.mintscan.io/cosmoshub-testnet,Mintscan for Cosmos Hub Testnet,https://github.com/cosmos/awesome-cosmos#readme,Cosmos SDK error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://ibc.cosmos.com/,IBC,https://github.com/cosmos/awesome-cosmos#readme,Cosmos SDK error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://blog.cosmos.network/,Cosmos Blog,https://github.com/cosmos/awesome-cosmos#readme,Cosmos SDK error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://stake.id,Stake ID,https://github.com/cosmos/awesome-cosmos#readme,Cosmos SDK error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://zerofruit.medium.com/cosmos-dev-series-cosmos-sdk-based-blockchain-upgrade-b5e99181554c,Cosmos Dev Series: Cosmos Blockchain Upgrade,https://github.com/cosmos/awesome-cosmos#readme,Cosmos SDK error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://pod.kujira.app/cosmoshub-4,List on Kujira POD,https://github.com/cosmos/awesome-cosmos#readme,Cosmos SDK error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
https://docs.cosmos.network/main/modules/,List of Modules,https://github.com/cosmos/awesome-cosmos#readme,Cosmos SDK error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://t.me/NodesGuru_bot,Nodes Checker,https://github.com/cosmos/awesome-cosmos#readme,Cosmos SDK error: URLError(PermissionError(13, 'An attempt was made to access a socket in a way forbidden by its access permissions', None, 10013, None)) | reason: [WinError 10013] An attempt was made to access a socket in a way forbidden by its access permissions
