https://www.garrensmith.com/blogs/mini-couch-hack-week,MiniCouchDB in Rust,https://github.com/quangv/awesome-couchdb#readme,CouchDB error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)
http://ehealthafrica.github.io/couchdb-best-practices/,Best Practices,https://github.com/quangv/awesome-couchdb#readme,CouchDB error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.nosql.se/2011/09/couchdb-maximum-database-size/,CouchDB Maximum Database Size,https://github.com/quangv/awesome-couchdb#readme,CouchDB error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://wiki.apache.org/couchdb/Document_revisions?action=show&redirect=DocumentRevisions,Document Revisions (from wiki),https://github.com/quangv/awesome-couchdb#readme,CouchDB error: <HTTPError 404: ''> | reason: 
http://nosqltapes.com/video/hoffman-and-kocoloski-on-cloudant-and-couchdb,Volume 5 - CouchDB,https://github.com/quangv/awesome-couchdb#readme,CouchDB error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://docs.couchdb.org/en/2.0.0/couchapp/views/collation.html,Views Collation,https://github.com/quangv/awesome-couchdb#readme,CouchDB error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://nosqltapes.com/video/understanding-mapreduce-with-mike-miller,Volume 8 - MapReduce,https://github.com/quangv/awesome-couchdb#readme,CouchDB error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.oreilly.com/pub/e/1760,Scaling Out with BigCouch,https://github.com/quangv/awesome-couchdb#readme,CouchDB error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developer.ibm.com/clouddataservices/docs/cloudant/get-started/mapreduce-and-the-secondary-index/,Cloudant - MapReduce and the Secondary Index (Video),https://github.com/quangv/awesome-couchdb#readme,CouchDB error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://grokbase.com/s/couchdb,Grokbase,https://github.com/quangv/awesome-couchdb#readme,CouchDB error: TimeoutError('timed out') | reason: 
https://wiki.apache.org/couchdb/Frequently_asked_questions,FAQ (old wiki),https://github.com/quangv/awesome-couchdb#readme,CouchDB error: <HTTPError 404: ''> | reason: 
https://wiki.apache.org/couchdb/Related_Projects,Old Wiki's Related Projects List,https://github.com/quangv/awesome-couchdb#readme,CouchDB error: <HTTPError 404: ''> | reason: 
http://grokbase.com/t/couchdb/user/14a1phbzrb/are-attachments-duplicated-for-each-revision-as-well,Are attachments duplicated for each revision?,https://github.com/quangv/awesome-couchdb#readme,CouchDB error: TimeoutError('timed out') | reason: 
https://developer.ibm.com/clouddataservices/2016/03/22/simple-couchdb-and-cloudant-backup/,Simple CouchDB and Cloudant Backup,https://github.com/quangv/awesome-couchdb#readme,CouchDB error: <HTTPError 404: 'Not Found'> | reason: Not Found
