https://medium.com/@timknight/how-i-automate-my-craft-cms-2-x-installs-8427f70914e4,How I Automate My Local Development Craft CMS 2.x Installs,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.thebasement.be/language-switcher-for-craft-3/,Language switcher for Craft 3,https://github.com/craftcms/awesome#readme,Craft CMS error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://angell.io/blog/thoughts-on-full-page-caching-in-craft,Thoughts on full page caching in Craft,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.vaersaagod.no/en/9-tips-for-speeding-up-your-imager-transforms-in-craftcms,9 Tips For Speeding Up Your Imager Transforms,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blog.ap.org,blog.ap.org,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://insights.ap.org,insights.ap.org,https://github.com/craftcms/awesome#readme,Craft CMS error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.ten4design.co.uk/insight/why-craft-cms-is-the-best-content-management-system,Why Craft CMS is the best content management system we (and you) have ever used,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://taechogroup.com/blog/10-reasons-why-we-love-craft-cms,10 Reasons Why We Love Craft CMS,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://medium.com/diesdas-direct/a-love-letter-to-craft-cms-737f60d756cc,A love letter to Craft CMS,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.pbs.org/parents/child-development/social-emotional,PBS Parents,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://rias.be/blog/enforcing-better-passwords-in-craft-cms,Enforcing better passwords in Craft CMS,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.oaklandca.gov/,City of Oakland,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blog.galaxyweblinks.com/how-to-get-started-with-seo-in-craft-cms/,How To Get Started With SEO In Craft CMS,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 502: 'Bad Gateway'> | reason: Bad Gateway
https://medium.com/@galaxyweblinks/craft-cms-vs-wordpress-why-choose-craft-7a557cdb604d,Craft CMS Vs WordPress: Why Choose Craft?,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.salesforceiq.com,SalesforceIQ,https://github.com/craftcms/awesome#readme,Craft CMS error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://rias.be/blog/sending-notifications-to-slack-and-other-channels-with-craft-cms,Sending notifications to Slack and other channels with Craft CMS,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.vaersaagod.no/en/support-for-imgix-in-imager-for-craftcms,Support for Imgix in Imager for Craft,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://aptone.com/,Apartment One,https://github.com/craftcms/awesome#readme,Craft CMS error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
