https://www.skillshare.com/classes/Introduction-to-Data-Visualization-From-Data-to-Design/1435958330,Introduction to Data Visualization,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.skillshare.com/en/classes/programming-graphics-i-introduction-to-generative-art/782118657,Programming Graphics I,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.skillshare.com/en/classes/programming-graphics-ii-generative-art-animation/388564917,2,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.skillshare.com/en/classes/programming-graphics-iii-painting-with-sound/738981508,3,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.derivative.ca/,TouchDesigner,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.futurelearn.com/courses/creative-coding,Future Learn: Creative Coding,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/en-us/product/openframeworks-essentials-9781784396145,openFrameworks Essentials,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://circles.software,Circles,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.packtpub.com/en-us/product/mastering-openframeworks-creative-coding-demystified-9781849518048,Mastering openFrameworks: Creative Coding Demystified,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.scratchapixel.com/,Scratchapixel 2.0,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/hardware-and-creative/processing-2-creative-programming-cookbook,Processing 2: Creative Programming Cookbook,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.lynda.com/Processing-tutorials/Interactive-Data-Visualization-Processing/97578-2.html,Interactive Data Visualization with Processing,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.skillshare.com/classes/Programming-Data-Visualizations-A-Coding-Toolkit-for-Processing/1782124914,Programming Data Visualizations: A Coding Toolkit for Processing,https://github.com/terkelg/awesome-creative-coding#readme,Creative Coding error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
