https://dl.acm.org/doi/10.1007/s10462-015-9434-x,Financial credit risk assessment: a recent review,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.tandfonline.com/doi/abs/10.1057/palgrave.jors.2601932,Good practice in retail credit scorecard assessment,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sciencedirect.com/science/article/pii/S2405918817300648,Regulatory learning: How to supervise machine learning models? An application to credit scoring,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.sciencedirect.com/science/article/abs/pii/S0377221706011866,Recent developments in consumer credit risk assessment,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.sciencedirect.com/science/article/abs/pii/S0169207000000340,A survey of credit and behavioural scoring: forecasting financial risk of lending to consumers,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.sciencedirect.com/science/article/abs/pii/S0957417407006719,The comparisons of data mining techniques for the predictive accuracy of probability of default of credit card clients,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.tandfonline.com/doi/abs/10.1080/08982112.2019.1655159,Network based credit risk models,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.jstor.org/stable/2983268,Statistical Classification Methods in Consumer Credit Scoring: A Review,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sciencedirect.com/science/article/pii/S2405918822000095,Credit scoring methods: Latest trends and points to consider,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.jstor.org/stable/40540227,Consumer Finance: Challenges for Operational Research,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sciencedirect.com/science/article/abs/pii/S0377221706011969,Reject inference, augmentation, and sample selection,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://alo.mit.edu/wp-content/uploads/2015/06/Household-behaviorConsumer-credit-riskCredit-card-borrowingMachine-learningNonparametric-estimation.pdf,Consumer credit-risk models via machine-learning algorithms,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sciencedirect.com/science/article/pii/S0167923619300570,A multi-objective approach for profit-driven feature selection in credit scoring,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.sciencedirect.com/science/article/abs/pii/S0957417414005119,Credit scoring using the clustered support vector machine,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.sciencedirect.com/science/article/abs/pii/S0957417416306947,A comparative study on base classifiers in ensemble methods for credit scoring,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.sciencedirect.com/science/article/abs/pii/S0957417409008847,Multiple classifier application to credit risk assessment,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.sciencedirect.com/science/article/pii/S0957417410012364,Corrigendum,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.sciencedirect.com/science/article/abs/pii/S0957417409010719,Combination of feature selection approaches with SVM in credit scoring,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3506274,Explainable Machine learning in Credit Risk Management,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.tandfonline.com/doi/abs/10.1080/03085140601089846,'Lending by numbers': credit scoring and the constitution of risk within American consumer credit,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sciencedirect.com/science/article/abs/pii/S0377221715004208,Benchmarking state-of-the-art classification algorithms for credit scoring: An update of research,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://www.sciencedirect.com/science/article/abs/pii/S1876735416300101,Classification methods applied to credit scoring: Systematic review and overall comparison,https://github.com/mourarthur/awesome-credit-modeling#readme,Credit Modeling error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
