https://snort.org/,Snort,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://suricata-ids.org/,Suricata,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.gnu.org/philosophy/free-sw.html,Free Software,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.alienvault.com/open-threat-exchange/projects,AlienVault OSSIM,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://openziti.github.io/,OpenZITI,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://regula.dev/,Regula,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://rkhunter.sourceforge.net/,Rootkit Hunter (rkhunter),https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.guardicore.com/infectionmonkey/,Infection Monkey,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://kushtaka.org,Kushtaka,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://labrea.sourceforge.net/labrea-info.html,LaBrea,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.rekall-forensic.com/,Rekall,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://opennms.org/,OpenNMS,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dyninst.org/dyninst,DynInst,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: TimeoutError('The read operation timed out') | reason: 
https://egalito.org/,Egalito,https://github.com/fabacab/awesome-cybersecurity-blueteam#readme,Cybersecurity Blue Team error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
