https://player.vimeo.com/video/173346398,OpenDTrace,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://player.vimeo.com/video/173300658,DTrace Performance Improvements with Always-on Instrumentation,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://player.vimeo.com/video/173300657,D language improvements,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://dtrace.org/blogs/brendan/2011/02/11/dtrace-pid-provider-arguments/,pid provider: entry arguments,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://player.vimeo.com/video/173300656,D Syntactic Sugar,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://player.vimeo.com/video/173300655,DTrace and Go,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://dtrace.org/guide/preface.html,Dynamic Tracing Guide,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.joyent.com/about/events/2016/dtrace-conf,dtrace.conf 2016,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://player.vimeo.com/video/173300654,DTrace and Postgres,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://player.vimeo.com/video/173346406,Introduction,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://dtrace.org/blogs/brendan/2011/02/14/dtrace-pid-provider-return/,pid provider: return,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://player.vimeo.com/video/173300653,DTrace in the Zone,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://player.vimeo.com/video/173346405,(Useful!) DTrace intro,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://player.vimeo.com/video/173300651,DTrace ustack() performance improvements,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://player.vimeo.com/video/173346404,CTF Everywhere!,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://player.vimeo.com/video/173300650,DTrace Exploitation,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://player.vimeo.com/video/173346403,Distributed DTrace,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://dtrace.org/blogs/brendan/2011/02/16/dtrace-pid-provider-instructions/,pid provider: instructions,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://player.vimeo.com/video/173346402,DTracign Apps,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://player.vimeo.com/video/173346401,DTrace and JSON: Together at last!,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://illumos.org/man/1m/dtrace,dtrace(1m) man page,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
https://player.vimeo.com/video/173346400,ASSERT() as a DTrace probe (and why I need some help),https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://dtrace.org/blogs/brendan/2011/02/18/dtrace-pid-provider-overhead/,pid provider: overhead,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://player.vimeo.com/video/173346399,Implementing (or not) fds[] in FreeBSD,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://dev.mysql.com/doc/refman/5.7/en/dba-dtrace-mysqld-ref.html,MySQL,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.tablespace.net/quicksheet/dtrace-quickstart.html,DTrace QuickStart,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://dtrace.org/resources/bmc/dtrace_tips.pdf,Advanced DTrace Tips, Tricks and Gotchas,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://dtrace.org/blogs/brendan/2011/02/09/dtrace-pid-provider/,pid provider: entry probe,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 503: 'Service Temporarily Unavailable'> | reason: Service Temporarily Unavailable
https://blogs.oracle.com/eschrock/entry/dtrace_sysevent_provider,DTrace sysevent provider,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://chinadtrace.org/,China DTrace,https://github.com/xen0l/awesome-dtrace#readme,DTrace error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
