http://services.faa.gov/airport/status/MIA?format=application/json,MIA,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://services.faa.gov/airport/status/AUS?format=application/json,AUS,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://services.faa.gov/airport/status/BOS?format=application/json,BOS,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://services.faa.gov/airport/status/CLE?format=application/json,CLE,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://services.faa.gov/airport/status/ORD?format=application/json,ORD,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://services.faa.gov/airport/status/PDX?format=application/json,PDX,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://services.faa.gov/airport/status/SJC?format=application/json,SJC,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://vocab.nic.in/rest.php/states/json,State Codes,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://api.tvmaze.com/singlesearch/shows?q=mr-robot&embed=episodes,Mr. Robot (USA),https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://api.tvmaze.com/singlesearch/shows?q=silicon-valley&embed=episodes,Silicon Valley (HBO),https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://api.coinmarketcap.com/v1/ticker/,Cryptocurrency Market Capitalizations,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.govtrack.us/developers/api,powerful API,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://api.tvmaze.com/singlesearch/shows?q=better-call-saul&embed=episodes,Better Call Saul (AMC),https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://api.tvmaze.com/singlesearch/shows?q=the-walking-dead&embed=episodes,The Walking Dead (AMC),https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.data.gov/local/,DATA.GOV,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://datos.comunidad.madrid/catalogo/dataset/ae433b7e-98f7-4547-8aa5-6ada557a429f/resource/21424b1c-6465-4db9-a5e3-6ddf180c634b/download/centros_educativos.json,Province of Madrid Educational Centers (non-university),https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'NOT FOUND'> | reason: NOT FOUND
https://mtgjson.com/json/LEA-x.json,MTG LEA Set + Extras,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://api.tvmaze.com/singlesearch/shows?q=south-park&embed=episodes,South Park (Comedy Central),https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://datos.gob.es/catalogo?res_format_label=JSON,https://datos.gob.es/,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://mtgjson.com/json/LEB-x.json,MTG LEB Set + Extras,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://api.tvmaze.com/singlesearch/shows?q=game-of-thrones&embed=episodes,Game of Thrones (HBO),https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://api.tvmaze.com/singlesearch/shows?q=house-of-cards&embed=episodes,House of Cards (Netflix),https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://api.tvmaze.com/singlesearch/shows?q=big-bang-theory&embed=episodes,The Big Bang Theory (CBS),https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://mtgjson.com/json/ARN-x.json,MTG ARN Set + Extras,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.justice.gov/api/v1/speeches.json?pagesize=2,Speeches,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://api.tvmaze.com/singlesearch/shows?q=black-mirror&embed=episodes,Black Mirror (Netflix),https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.justice.gov/api/v1/vacancy_announcements.json?pagesize=2,Vacancy Announcements,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://api.tvmaze.com/singlesearch/shows?q=stranger-things&embed=episodes,Stranger Things (Netflix),https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://data.lacity.org/api/views/y8tr-7khq/rows.json?accessType=DOWNLOAD,Los Angeles (historical data since 2010),https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.quandl.com/api/v1/datasets/MOSPI/GDP.json,Gross Domestic Product at Current Prices,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://data.gov.au/geoserver/abc-local-stations/wfs?request=GetFeature&typeName=ckan_d534c0e9_a9bf_487b_ac8f_b7877a09d162&outputFormat=json,ABC Local Stations,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: <HTTPError 400: ''> | reason: 
https://think.cs.vt.edu/corgis/datasets/json/airlines/airlines.json,Monthly Airline Delays by Airport, 2003-2016,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://services.faa.gov/airport/status/SFO?format=application/json,SFO,https://github.com/jdorfman/awesome-json-datasets#readme,Datasets error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
