http://uk.mathworks.com/help/pdf_doc/nnet/nnet_ug.pdf,Neural Networks for Matlab,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://class.coursera.org/neuralnets-2012-001,Neural Networks for Machine Learning,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.stanford.edu/~asaxe/,Andrew M. Saxe,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.college-de-france.fr/site/en-yann-lecun/course-2015-2016.htm,Deep Learning Course,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
http://selfdrivingcars.mit.edu/,MIT 6.S094: Deep Learning for Self-Driving Cars,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://classpert.com/deep-learning,Deep Learning Online Course list at Classpert,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.cs.stanford.edu/people/ang/,Andrew Ng,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://jmlr.org/proceedings/papers/v37/chung15.pdf,.,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://jmlr.org/proceedings/papers/v37/chung15-supp.pdf,.,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://course.fast.ai/part2,Deep Learning from the Foundations,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.ted.com/talks/jeremy_howard_the_wonderful_and_terrifying_implications_of_computers_that_can_learn,The wonderful and terrifying implications of computers that can learn,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 307: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nTemporary Redirect'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Temporary Redirect
http://www.clement.farabet.net/,Clement Farabet,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://deeplearning.stanford.edu/wiki/index.php/UFLDL_Tutorial,UFLDL Tutorial 1,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.manning.com/books/regularization-in-deep-learning,Regularization in Deep Learning,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: ''> | reason: 
http://web.stanford.edu/class/cs224n/handouts/,Natural Language Processing,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://jmlr.org/proceedings/papers/v37/jozefowicz15.pdf,Wojciech Zaremba, Ilya Sutskever, An Empirical Exploration of Recurrent Network Architectures,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.udemy.com/share/1000gAA0QdcV9aQng=/,Face Detection with Computer Vision and Deep Learning,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.socher.org/index.php/DeepLearningTutorial/DeepLearningTutorial,Deep Learning for NLP (without Magic),https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.knowledgeisle.com/wp-content/uploads/2019/12/2-Aur%C3%A9lien-G%C3%A9ron-Hands-On-Machine-Learning-with-Scikit-Learn-Keras-and-Tensorflow_-Concepts-Tools-and-Techniques-to-Build-Intelligent-Systems-O%E2%80%99Reilly-Media-2019.pdf,Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://ahmedbesbes.com/understanding-deep-convolutional-neural-networks-with-a-practical-use-case-in-tensorflow-and-keras.html,Understanding deep Convolutional Neural Networks with a practical use-case in Tensorflow and Keras,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://aishelf.org/category/ia/deep-learning/,Deep Learning A.I.Shelf,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://ahmedbesbes.com/overview-and-benchmark-of-traditional-and-deep-learning-models-in-text-classification.html,Overview and benchmark of traditional and deep learning models in text classification,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://class.coursera.org/ml-005,Machine Learning - Stanford,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://vision.stanford.edu/teaching/cs231n/syllabus.html,Convolutional Neural Networks for Visual Recognition - Stanford,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://web.eecs.utk.edu/~itamar/courses/ECE-692/Bobby_paper1.pdf,LSTM,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://info.usherbrooke.ca/hlarochelle/neural_networks/content.html,Neural Networks - usherbrooke,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.gatsby.ucl.ac.uk/~amnih/,Andriy Mnih,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.cs.nyu.edu/~naz/,Ayse Naz Erkan,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://reslab.elis.ugent.be/benjamin,Benjamin Schrauwen,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.cisuc.uc.pt/people/show/2020,Bernardete Ribeiro,https://github.com/ChristosChristofidis/awesome-deep-learning#readme,Deep Learning error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
