http://www.publicbooks.org/public-books-database/,Public Books Database,https://github.com/maehr/awesome-digital-history#readme,Digital History error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://www.deutsche-digitale-bibliothek.de/,Deutsche Digitale Bibliothek,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://scripta.bbf.dipf.de/viewer/index/,Scripta Paedagogica,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
https://anno.onb.ac.at/,ANNO,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.hathitrust.org,HathiTrust,https://github.com/maehr/awesome-digital-history#readme,Digital History error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.deutsche-digitale-bibliothek.de/newspaper,Deutsches Zeitungsportal,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://digitalcollections.universiteitleiden.nl/imagecollection-kitlv,Southeast Asian & Caribbean Images (KITLV),https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://digital.slub-dresden.de/kollektionen/,SLUB Dresden,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.digitale-sammlungen.de/,Digitale Sammlungen,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.ssrq-sds-fds.ch/projekte/ssrq-online/,Sammlung Schweizerischer Rechtsquellen online,https://github.com/maehr/awesome-digital-history#readme,Digital History error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://digitarium-app.acdh-dev.oeaw.ac.at/,Digitarium,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)
https://www.oldbaileyonline.org/,The Proceedings of the Old Bailey,https://github.com/maehr/awesome-digital-history#readme,Digital History error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://impresso-project.ch/,impresso,https://github.com/maehr/awesome-digital-history#readme,Digital History error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
