https://www.namecheap.com/,NameCheap,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.unrealengine.com/en-US/learn,Unreal Game Engine,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.autodesk.com/education/free-software/featured,Autodesk Software,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://iconscout.com/github-students,Iconscout,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.tableau.com/academic/students,Tableau Desktop,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://pushbots.com/for/education/,PushBots,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 523: '<none>'> | reason: <none>
https://www.mapbox.com/community/education,Mapbox,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://in.mathworks.com/products/matlab/student.html,MATLAB,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://software.intel.com/en-us/qualify-for-free-software/student,Intel Tools for Students,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.acm.org/membership/membership-options,Association of Computing Machinery with Digital Library,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://pageclip.co/github-students,Pageclip,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://my.vertabelo.com/sign-up/create-academic,Vertabelo,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://get.tech/students,.tech,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://onemonth.com/github/students,One Month,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.adobe.com/creativecloud/buy/students.html,Adobe Creative Cloud,https://github.com/AchoArnold/discount-for-student-dev#readme,Discounts for Student Developers error: TimeoutError('The read operation timed out') | reason: 
