http://techbytes.anuragkapur.com/2015/05/heroku-for-highly-available-dropwizard.html?m=1,Heroku for Highly Available Dropwizard Apps,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://atomix.io/,Atomix,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://kyleboon.org/blog/2013/09/23/newrelic-for-dropwizard/,Enabling Newrelic for Dropwizard,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.dropwizard.io/0.9.2/docs/getting-started.html,Getting Started,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.dropwizard.io/0.9.2/docs/manual/index.html,Official docs,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.dropwizard.io/0.9.2/docs/manual/internals.html,Dropwizard internals,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://spin.atomicobject.com/2014/10/11/serving-static-assets-with-dropwizard/,Serving Static Assets with DropWizard,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://spin.atomicobject.com/2015/03/30/jersey-servlets-dropwizard/,Hooking up Custom Jersey Servlets in Dropwizard,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://spin.atomicobject.com/2015/02/03/dropwizard-hibernate-dao/,Using Hibernate DAOs in DropWizard Tasks,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gridshore.nl/2014/05/15/using-dropwizard-combination-elasticsearch/,Using Dropwizard in combination with Elasticsearch,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.aytech.ca/blog/dropwizard-app-engine-flexible-env/,Deploying Dropwizard on App Engine Flex,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://www.aytech.ca/blog/measuring-performance-dropwizard-application/,Measuring the performance of your Dropwizard application,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://www.aytech.ca/blog/heroku-gradle-dropwizard/,Heroku + Gradle + Dropwizard,https://github.com/stve/awesome-dropwizard#readme,Dropwizard error: RemoteDisconnected('Remote end closed connection without response') | reason: 
