https://medium.com/eosio/announcing-elemental-battles-block-ones-3215a8e2cdee,Announcing Elemental Battles: Block.one's New Tutorial for On-boarding Aspiring Blockchain Developers,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://eos.io/,,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://eosnetwork.com/,EOS Network Foundation,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://eosnetwork.com/blog/category/eos-blue-papers/n,Blue Paper,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://glass.cypherglass.com/,GLASS,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.youtube.com/@EOSNetworkFoundation,YouTube,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://developers.eos.io/,EOSIO Developer Portal,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 530: '<none>'> | reason: <none>
https://www.eosstudio.io/,EOS Studio,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://training.eos.io/,EOSIO Training & Certification,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://eos.io/event-category/webinar/,EOSIO Webinars,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://eos.io/resources/,EOSIO Resource Library,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.udemy.com/learning-blockchain-development-with-eos-and-cpp/,Learning Blockchain Development with EOS and C++,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.udemy.com/starting-with-eos/,Starting with EOS Blockchain for Developers,https://github.com/DanailMinchev/awesome-eosio#readme,EOSIO error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
