https://consensys.github.io/smart-contract-best-practices/known_attacks/,Known Attacks,https://github.com/kareniel/awesome-evm-security#readme,EVM Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://epub.wu.ac.at/7309/8/Foundations%20of%20Cryptoeconomic%20Systems.pdf,Foundations of Cryptoeconomic Systems,https://github.com/kareniel/awesome-evm-security#readme,EVM Security error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://blog.oceanprotocol.com/towards-a-practice-of-token-engineering-b02feeeff7ca,Towards a Practice of Token Engineering,https://github.com/kareniel/awesome-evm-security#readme,EVM Security error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://docs.gnosis-safe.io,Gnosis Safe,https://github.com/kareniel/awesome-evm-security#readme,EVM Security error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'docs.gnosis-safe.io'. (_ssl.c:1018)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'docs.gnosis-safe.io'. (_ssl.c:1018)
https://devansh.xyz/blockchain-security/2021/09/17/genesis-0x01.html,Simplified Roadmap for Blockchain Security,https://github.com/kareniel/awesome-evm-security#readme,EVM Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://medium.com/conflux-network/the-overlooked-element-of-defi-adoption-e3b29829e3da,State of DeFi Audits,https://github.com/kareniel/awesome-evm-security#readme,EVM Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://explore.flashbots.net/,MEV-explore,https://github.com/kareniel/awesome-evm-security#readme,EVM Security error: <HTTPError 410: 'Gone'> | reason: Gone
https://monitor.blocksecteam.com/,Flashloan monitor,https://github.com/kareniel/awesome-evm-security#readme,EVM Security error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://medium.com/daostack/voting-options-in-daos-b86e5c69a3e3,Voting Options in DAOs,https://github.com/kareniel/awesome-evm-security#readme,EVM Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://medium.com/primedao/it-takes-a-cryptonetwork-2ae9ab541c17,It Takes a Cryptonetwork,https://github.com/kareniel/awesome-evm-security#readme,EVM Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://guidelines.secureth.org/,Secureth guidelines,https://github.com/kareniel/awesome-evm-security#readme,EVM Security error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
