https://www.gnu.org/savannah-checkouts/gnu/emacs/download.html,GNU Emacs Download & Installation,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.emacswiki.org/emacs/ZoneMode,Zone Mode,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://www.emacswiki.org/emacs/AngeFtp,AngeFTP,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://www.emacswiki.org/emacs/AbbrevMode,abbrev,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://www.emacswiki.org/emacs/ParEdit,Paredit,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://www.emacswiki.org/emacs/TabBarMode,tab-bar-mode,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://www.emacswiki.org/emacs/ElectricPair,electric-pair-mode,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://www.gnu.org/software/emacs/tour/,A Guided Tour of Emacs,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/emacs/manual/html_node/emacs/Matching.html,GNU Manual,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/emacs/manual/html_node/emacs/Saving-Emacs-Sessions.html,desktop,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.emacswiki.org/emacs/ELPA,package.el,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://www.emacswiki.org/emacs/ImenuMode,imenu,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://www.emacswiki.org/emacs/MakefileMode,Makefile Mode,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://www.emacswiki.org/emacs/CategoryEshell,EShell,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://www.emacswiki.org/emacs/MiniMap,Minimap,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://www.emacswiki.org/emacs/DiredMode,Dired,https://github.com/emacs-tw/awesome-emacs#readme,Emacs error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
