https://siliconpr0n.org/,Siliconpr0n,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://doi.org/10.5281/zenodo.1035034,IoT Security@CERN,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.eurecom.fr/en/publication/4158/download/rs-publi-4158.pdf,Avatar: A Framework to Support Dynamic Security Analysis of Embedded Systems' Firmwares,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.eurecom.fr/en/publication/5417/download/sec-publi-5417.pdf,What You Corrupt Is Not What You Crash: Challenges in Fuzzing Embedded Devices,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://freaklabsstore.com/index.php?main_page=product_info&cPath=22&products_id=219&zenid=fpmu2kuuk4abjf6aurt3bjnfk4,Freakduino,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://int3.cc/products/the-shikra,Shikra,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
https://gracefulsecurity.com/category/hardware/,GracefulSecurity - Hardware tag,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.fkie.fraunhofer.de/content/dam/fkie/de/documents/xerox_phaser_6700_white_paper.pdf,PWN Xerox Printers (...again),https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
https://blog.senr.io/blog/jtag-explained,JTAG Explained,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.mikroe.com/blog/uart-serial-communication,UART explained,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.ettus.com/product-categories/usrp-bus-series/,USRP B Series,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.proxmark.com/,Proxmark 3 RDV4,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: <HTTPError 521: '<none>'> | reason: <none>
https://cyber-itl.org/2019/08/26/iot-data-writeup.html,Binary Hardening in IoT products,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: <HTTPError 525: '<none>'> | reason: <none>
https://www.pentestpartners.com/internet-of-things/,PenTestPartners,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://srecord.sourceforge.net/,The SRecord package,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/doi/abs/10.1145/3414173,SAFER: Development and Evaluation of an IoT Device Risk Assessment Framework in a Multinational Organization,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.mdpi.com/1424-8220/19/19/4107,Detecting IoT Devices and How They Put Large Heterogeneous Networks at Security Risk,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/networking-and-servers/iot-penetration-testing-cookbook,IoT Penetration Testing Cookbook,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.cse.psu.edu/~pdm12/cse597g-f15/readings/cse597g-embedded_systems.pdf,Embedded Systems Security: Threats, Vulnerabilities, and Attack Taxonomy,https://github.com/fkie-cad/awesome-embedded-and-iot-security#readme,Embedded and IoT Security error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
