https://kybishop.github.io/ember-attacher/,ember-attacher,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://marketplace.visualstudio.com/items?itemName=dhedgecock.ember-syntax,Ember Syntax,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://marketplace.visualstudio.com/items?itemName=lifeart.vscode-glimmer-syntax,Glimmer Templates Syntax for VS Code,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://marketplace.visualstudio.com/items?itemName=lifeart.vscode-ember-unstable,unstable-ember-language-server,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://codeburst.io/ember-js-lazy-assets-fingerprinting-loading-static-dynamic-assets-on-demand-f09cd7568155,Ember.js Lazy Assets: Fingerprinting & loading static/dynamic assets on demand,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://cenchat.com/blog/2019/05/25/using-lerna-to-manage-multiple-ember-apps.html,Using Lerna to manage multiple Ember.js apps,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://hangaroundtheweb.com/2018/02/an-elementary-guide-to-ember-build-performance/,An Elementary Guide to Ember.js Build Performance,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://medium.com/@devotox/zero-cost-web-apps-part-1-b2d6b46916f1,How to Actually Build Superior Web Apps for Free,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://authmaker.com/,https://authmaker.com/,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)) | reason: [WinError 10054] An existing connection was forcibly closed by the remote host
https://www.npmjs.com/package/ember-cli-extended-resolver,ember-cli-extended-resolver,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.ember-cli-zuglet.com/,ember-cli-zuglet,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://emberperf.eviltrout.com,emberperf,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://mfeckie.github.io/Debugging-Broccoli-And-Ember/,Debugging Broccoli and Ember-CLI,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://ondrejsevcik.com/deprecate-css/,Make your deprecated CSS stand out,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.ember-bootstrap.com/,ember-bootstrap,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://dunkinbase.github.io/ember-elements/,a UI toolkit in Ember,https://github.com/ember-community-russia/awesome-ember#readme,Ember error: <HTTPError 404: 'Not Found'> | reason: Not Found
