https://dl.acm.org/citation.cfm?id=J790,ACM Transactions on Software Engineering and Methodology (TOSEM),https://github.com/dspinellis/awesome-msr#readme,Empirical Software Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://zenodo.org/communities/empirical-software-engineering/,Empirical Software Engineering,https://github.com/dspinellis/awesome-msr#readme,Empirical Software Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://zenodo.org/communities/msr/,Mining Software Repositories,https://github.com/dspinellis/awesome-msr#readme,Empirical Software Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://publications.computer.org/software-magazine/,IEEE Software magazine,https://github.com/dspinellis/awesome-msr#readme,Empirical Software Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.journals.elsevier.com/journal-of-systems-and-software,Journal of Systems and Software,https://github.com/dspinellis/awesome-msr#readme,Empirical Software Engineering error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://zenodo.org/record/1489120,Maven Dependency Graph,https://github.com/dspinellis/awesome-msr#readme,Empirical Software Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://download.eclipse.org/scava/datasets/aeri_stacktraces/aeri_stacktraces.html,Eclipse AERI stacktraces,https://github.com/dspinellis/awesome-msr#readme,Empirical Software Engineering error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://doi.org/10.5281/zenodo.2583978,Software Heritage Graph Dataset,https://github.com/dspinellis/awesome-msr#readme,Empirical Software Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/citation.cfm?id=3341907,paper here,https://github.com/dspinellis/awesome-msr#readme,Empirical Software Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://zenodo.org/,Zenodo,https://github.com/dspinellis/awesome-msr#readme,Empirical Software Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://zenodo.org/communities/seacraft,Software Engineering Artifacts Can Really Assist Future Tasks,https://github.com/dspinellis/awesome-msr#readme,Empirical Software Engineering error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://boa.cs.iastate.edu/,Boa,https://github.com/dspinellis/awesome-msr#readme,Empirical Software Engineering error: URLError(ConnectionRefusedError(10061, 'No connection could be made because the target machine actively refused it', None, 10061, None)) | reason: [WinError 10061] No connection could be made because the target machine actively refused it
