https://wiki.parity.io/Dapp-Tutorial,Parity DApp Tutorial,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.etherchain.org/,Etherchain,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://kauri.io/collection/5b8e401ee727370001c942e3/full-stack-dapp-tutorial-series,Full Stack DApp Tutorial Series,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://tokeneconomy.co/token-bonding-curves-in-practice-3eb904720cb8,Token Bonding Curves in Practice,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://bondingplayground.netlify.com/,Bonding Curve Playground,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://hudsonjameson.com/2017-06-27-accounts-transactions-gas-ethereum/,Accounts, Transactions, Gas, and Block Gas Limits in Ethereum,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://ethernaut.zeppelin.solutions/,Ethernaut Smart Contract Capture the Flag,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://the-eye.eu/public/Books/qt.vidyagam.es/library/humble-bitcoin-bundle/Introducing%20Ethereum%20and%20Solidity_%20Foud%20Blockchain%20Programming%20for%20Beginners/Introducing%20Ethereum%20and%20Solidity_%20Foundatiin%20Programming%20for%20Beginners%20-%20Chris%20Dannen.pdf,Introduction to Ethereum and Solidity,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://novicedock.com/learn/cryptocurrency/ethereum,Ethereum Syllabus,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
https://medium.com/@merunasgrincalaitis/the-ultimate-end-to-end-tutorial-to-create-and-deploy-a-fully-descentralized-dapp-in-ethereum-18f0cf6d7e0e,End to End DApp Tutorial,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blockchair.com/ethereum/,Blockchair,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 401: 'Unauthorized'> | reason: Unauthorized
https://swarm.ethereum.org/,Swarm,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://media.consensys.net/introduction-to-zksnarks-with-examples-3283b554fc3b,Introduction to zk-SNARKS with examples,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.codementor.io/learn/blockchain/solidity-tutorials,Various Ethereum & Solidity Tutorials,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://digitalcurrency.unic.ac.cy/free-introductory-mooc/,Introduction to Digital Currencies: University of Nicosia,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://docs.flintlang.org/,Flint Documentation,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://ethgasstation.info/,ETH Gas Station,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://users.encs.concordia.ca/~clark/courses/1703-6630/index.html,Bitcoin and Blockchain Technology: Concordia University,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blog.zeppelin.solutions/the-hitchhikers-guide-to-smart-contracts-in-ethereum-848f08001f05,Hitchhikers Guide to Smart Contracts,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://medium.com/@ConsenSys/a-101-noob-intro-to-programming-smart-contracts-on-ethereum-695d15c1dab4,A 101 Noob Intro to Programming Smart Contracts on Ethereum,https://github.com/ttumiel/Awesome-Ethereum#readme,Ethereum error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
