http://www.technovationchallenge.org/,Technovation,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://girlgeek.io/about/,Bay Area Girls,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.women-in-technology.com/,Women of Silicon Roundabout,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://catalystsf.girlsintech.org/,Girls in Tech Catalyst Conference,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://mothership.hackermoms.org/,Mothership HackerMoms,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate (_ssl.c:1018)
http://bytegirl.com.br/,Byte Girl,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.womenwhocode.com,Women Who Code,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 520: '<none>'> | reason: <none>
http://adaawards.com/,The Ada Awards,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://codegirls.de/,Code Girls,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://www.codeitlikeagirl.com/?lang=en,Code it Like a Girl,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 520: '<none>'> | reason: <none>
http://wiki.ubuntu-women.org/,Ubuntu Women,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://girls4tech.ebanx.com/,Girls4Tech,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://lwc.tech/,League of Women Coders,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://os4w.org/,OS4W,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://lesbianswhotech.org//,Lesbians Who Tech,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: RemoteDisconnected('Remote end closed connection without response') | reason: 
http://shesgeeky.org/,She's Geeky,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: RemoteDisconnected('Remote end closed connection without response') | reason: 
http://www.womenwhogo.org/,Women Who Go,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://www.watermarkconferenceforwomen.org,Watermark Conference for Women,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 301: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nMoved Permanently'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Moved Permanently
http://adadevelopersacademy.org/,Ada Developers Academy,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.codefirstgirls.org.uk,Code First Girl,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: <HTTPError 421: 'Misdirected Request'> | reason: Misdirected Request
http://web.stanford.edu/group/wics/,Women in Computer Science,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://js-girls.org/,Js-Girls,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://societyofwomenengineers.swe.org/,SWE,https://github.com/cristianoliveira/awesome4girls#readme,For Girls error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
