https://mattermost.com/,Mattermost,https://github.com/johnjago/awesome-free-software#readme,Free Software error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.mattermost.org/licensing/,Licensing,https://github.com/johnjago/awesome-free-software#readme,Free Software error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://about.gitlab.com/installation/,GitLab,https://github.com/johnjago/awesome-free-software#readme,Free Software error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://metager.de/en,MetaGer,https://github.com/johnjago/awesome-free-software#readme,Free Software error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://phabricator.kde.org/source/krita/browse/master/COPYING,GNU GPLv3,https://github.com/johnjago/awesome-free-software#readme,Free Software error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sciencedirect.com/science/article/pii/S0048733302000033,'Libre' Software: Turning Fads into Institutions?,https://github.com/johnjago/awesome-free-software#readme,Free Software error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://gitlab.metager3.de/open-source/MetaGer/blob/development/LICENSE,GNU AGPLv3,https://github.com/johnjago/awesome-free-software#readme,Free Software error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://ring.cx/,Ring,https://github.com/johnjago/awesome-free-software#readme,Free Software error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://www.gnu.org/,GNU,https://github.com/johnjago/awesome-free-software#readme,Free Software error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://spikespaz.com/search-deflector,Search Deflector,https://github.com/johnjago/awesome-free-software#readme,Free Software error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://code.wireshark.org/review/gitweb?p=wireshark.git;a=blob_plain;f=COPYING;hb=HEAD,GNU GPLv2,https://github.com/johnjago/awesome-free-software#readme,Free Software error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://ring.cx/en/about/practical,GNU GPLv3,https://github.com/johnjago/awesome-free-software#readme,Free Software error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://gnu.io/social/,GNU social,https://github.com/johnjago/awesome-free-software#readme,Free Software error: <HTTPError 520: '<none>'> | reason: <none>
https://git.gnu.io/gnu/gnu-social/blob/master/COPYING,GNU GPLv3,https://github.com/johnjago/awesome-free-software#readme,Free Software error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://taler.net/en/developers.html,GNU GPL,https://github.com/johnjago/awesome-free-software#readme,Free Software error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://newpipe.schabi.org/,NewPipe,https://github.com/johnjago/awesome-free-software#readme,Free Software error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://wordpress.org/about/gpl/,GNU GPLv2+,https://github.com/johnjago/awesome-free-software#readme,Free Software error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://wiki.qemu-project.org/License,GNU GPLv2,https://github.com/johnjago/awesome-free-software#readme,Free Software error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://www.virtualbox.org/,VirtualBox,https://github.com/johnjago/awesome-free-software#readme,Free Software error: <HTTPError 402: 'Payment Required'> | reason: Payment Required
