https://www.courier.com/,courier.com,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.make.com/en,Make,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://earningsfeed.com/api,Earnings Feed,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://www.pcloud.com/,pcloud.com,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://mouseflow.com/,mouseflow.com,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.wrappixel.com/,WrapPixel,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 520: '<none>'> | reason: <none>
https://www.stathat.com/,stathat.com,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://hsping.com,HS Ping,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 520: '<none>'> | reason: <none>
https://webhook-test.com,webhook-test.com,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://themeselection.com/,Themeselection,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://metricswave.com,MetricsWave,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 525: '<none>'> | reason: <none>
https://soos.io,SOOS,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.mailjet.com/,Mailjet,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://adminmart.com/,AdminMart,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 520: '<none>'> | reason: <none>
https://sourceforge.net/,SourceForge,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://seotest.me/,seotest.me,https://github.com/ripienaar/free-for-dev#readme,Free for Developers error: RemoteDisconnected('Remote end closed connection without response') | reason: 
