https://apps.gnome.org/MetadataCleaner,Metadata Cleaner,https://github.com/Kazhnuz/awesome-gnome#readme,GNOME error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://gitlab.gnome.org/World/gfeeds,Feeds,https://github.com/Kazhnuz/awesome-gnome#readme,GNOME error: <HTTPError 406: 'Not Acceptable'> | reason: Not Acceptable
https://gitlab.gnome.org/GNOME/gnome-tweaks,GNOME Tweaks,https://github.com/Kazhnuz/awesome-gnome#readme,GNOME error: <HTTPError 406: 'Not Acceptable'> | reason: Not Acceptable
https://www.gnome.org/news,GNOME News Feed,https://github.com/Kazhnuz/awesome-gnome#readme,GNOME error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://gitlab.gnome.org/subpop/damask,Damask,https://github.com/Kazhnuz/awesome-gnome#readme,GNOME error: <HTTPError 406: 'Not Acceptable'> | reason: Not Acceptable
https://gitlab.gnome.org/GNOME/showtime,Showtime,https://github.com/Kazhnuz/awesome-gnome#readme,GNOME error: <HTTPError 406: 'Not Acceptable'> | reason: Not Acceptable
https://gitlab.gnome.org/GNOME/libadwaita,libadwaita,https://github.com/Kazhnuz/awesome-gnome#readme,GNOME error: <HTTPError 406: 'Not Acceptable'> | reason: Not Acceptable
https://gitlab.gnome.org/GNOME/libhandy,libhandy,https://github.com/Kazhnuz/awesome-gnome#readme,GNOME error: <HTTPError 406: 'Not Acceptable'> | reason: Not Acceptable
https://gitlab.gnome.org/chergert/hello,Hello,https://github.com/Kazhnuz/awesome-gnome#readme,GNOME error: <HTTPError 406: 'Not Acceptable'> | reason: Not Acceptable
https://apps.gnome.org/Devhelp,DevHelp,https://github.com/Kazhnuz/awesome-gnome#readme,GNOME error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://gitlab.gnome.org/philippun1/turtle,Turtle,https://github.com/Kazhnuz/awesome-gnome#readme,GNOME error: <HTTPError 406: 'Not Acceptable'> | reason: Not Acceptable
