http://thegenius.sourceforge.net/,The Genius,https://github.com/leomaurodesenv/game-datasets#readme,Game Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://torcs.sourceforge.net/,The Open Racing Car Simulator,https://github.com/leomaurodesenv/game-datasets#readme,Game Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developer.riotgames.com/,Riot Games,https://github.com/leomaurodesenv/game-datasets#readme,Game Datasets error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://dx.doi.org/10.1145/3290605.3300854,Paper,https://github.com/leomaurodesenv/game-datasets#readme,Game Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://boardgamegeek.com/wiki/page/BGG_XML_API2,BoardGameGeek,https://github.com/leomaurodesenv/game-datasets#readme,Game Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.giantbomb.com/api/,Giant Bomb,https://github.com/leomaurodesenv/game-datasets#readme,Game Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.igdb.com/api,IGDB,https://github.com/leomaurodesenv/game-datasets#readme,Game Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://newzoo.com/,Newzoo,https://github.com/leomaurodesenv/game-datasets#readme,Game Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://robocode.sourceforge.io/,Robocode,https://github.com/leomaurodesenv/game-datasets#readme,Game Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://steambase.io/,Website,https://github.com/leomaurodesenv/game-datasets#readme,Game Datasets error: TimeoutError('The read operation timed out') | reason: 
https://doi.org/10.1145/1943552.1943569,paper,https://github.com/leomaurodesenv/game-datasets#readme,Game Datasets error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
