https://marketplace.yoyogames.com/assets/7299/spart-3d-particle-system,sPart,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://marketplace.visualstudio.com/items?itemName=bscotch.bscotch-stitch-vscode,Stitch for VSCode,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://steamdb.info/tech/Engine/GameMaker/,Check out this list.,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://manta-ray.itch.io/gmsnip,GMSnip,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://jasontomlee.itch.io/easy-gms-networking-platformer-build,EZ Networking,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://sahaun.itch.io/asesync,ASESync,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://yellowafterlife.itch.io/gamemaker-window-commands,Window Commands,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://xordev.itch.io/halftone,Xor's Halftone,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://yellowafterlife.itch.io/gamemaker-window-taskbar,Window Taskbar,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://yellowafterlife.itch.io/gamemaker-web-dyn-textures,Web Dynamic Textures,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://madwolf-studios.itch.io/audio-echodelay-effect-for-gamemaker-studio-2,Echo/Delay Effect,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://terohannula.itch.io/jump-flooding-algorithm,Jump Flooding,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://foxyofjungle.itch.io/foxey-transitions-pro,Transitions Pro,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://alessiogamedev.itch.io/gms-cellular-automata-algorithm,Cellular Automata Caves,https://github.com/bytecauldron/awesome-gamemaker#readme,GameMaker error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
