http://omarfouad.com/blog/2015/03/21/advanced-angularjs-structure-with-gulp-node-and-browserify/,Advanced AngularJS Structure with Gulp, Node and Browserify,https://github.com/alferov/awesome-gulp#readme,Gulp error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.npmjs.com/package/gulp,NPM Module,https://github.com/alferov/awesome-gulp#readme,Gulp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://scotch.io/tutorials/automate-your-tasks-easily-with-gulp-js,Automate Your Tasks Easily with Gulp.js,https://github.com/alferov/awesome-gulp#readme,Gulp error: <HTTPError 410: 'Gone'> | reason: Gone
https://medium.com/@contrahacks/gulp-3828e8126466,Gulp - The Vision, History, and Future of the Project,https://github.com/alferov/awesome-gulp#readme,Gulp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://stefanimhoff.de/tag/gulp/,Introduction to Gulp.js,https://github.com/alferov/awesome-gulp#readme,Gulp error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blog.wearewizards.io/migrating-to-gulp-4-by-example,Migrating to Gulp 4 by Example,https://github.com/alferov/awesome-gulp#readme,Gulp error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://medium.com/@sogko/gulp-browserify-the-gulp-y-way-bb359b3f9623,Gulp + Browserify, the Gulp-y Way,https://github.com/alferov/awesome-gulp#readme,Gulp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://viget.com/extend/gulp-browserify-starter-faq,Gulp + Browserify,https://github.com/alferov/awesome-gulp#readme,Gulp error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://blog.jhades.org/what-every-angular-project-likely-needs-and-a-gulp-build-to-provide-it/,What Every Angular Project Likely Needs - and a Gulp Build to Provide It,https://github.com/alferov/awesome-gulp#readme,Gulp error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://hacks.mozilla.org/2014/08/browserify-and-gulp-with-react/,Browserify and Gulp with React,https://github.com/alferov/awesome-gulp#readme,Gulp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://pomax.github.io/1420592591221/taking-react-to-the-next-level-mixins-gulp-and-browserify,Taking React to the Next Level: Mixins, Gulp, and Browserify,https://github.com/alferov/awesome-gulp#readme,Gulp error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.npmjs.com/package/gulp-csslint,gulp-csslint,https://github.com/alferov/awesome-gulp#readme,Gulp error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
