https://www.sciencedirect.com/science/article/pii/S1389041718308970,Human actions recognition in video scenes from multiple camera viewpoints,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://carleton.ca/economics/wp-content/uploads/cewp21-05.pdf,Forecasting Canadian GDP Growth with Machine Learning,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://onlinelibrary.wiley.com/doi/10.1111/geb.13321,Morphological traits of reef corals predict extinction risk but not conservation status,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/big-data-and-business-intelligence/r-deep-learning-essentials,R Deep Learning Essentials,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://qspace.library.queensu.ca/bitstream/handle/1974/15929/Muthalaly_Reena%20S_201707_MSC.pdf,Using deep learning to predict the mortality of leukemia patients,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 404: 'Not found'> | reason: Not found
http://www.h2o.ai/about/,H2O.ai,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://blog.h2o.ai/,blog posts,https://github.com/h2oai/awesome-h2o#readme,H2O error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://openaccess.nhh.no/nhh-xmlui/bitstream/handle/11250/2739783/masterthesis.pdf?sequence=1,Machine Learning as a Tool for Improved Housing Price Prediction,https://github.com/h2oai/awesome-h2o#readme,H2O error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.degruyter.com/downloadpdf/j/jwld.2016.30.issue-1/jwld-2016-0029/jwld-2016-0029.xml,Adaptive modelling of spatial diversification of soil classification units. Journal of Water and Land Development,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 410: 'Gone'> | reason: Gone
https://pubs.acs.org/doi/10.1021/acs.estlett.0c00206,Citizen Science Data Show Temperature-Driven Declines in Riverine Sentinel Invertebrates,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.stat.berkeley.edu/~ledell/papers/ledell-phd-thesis.pdf,Scalable ensemble learning and computationally efficient variance estimation,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.sciencedirect.com/science/article/pii/S2667305323000133,Automated machine learning: AI-driven decision making in business analytics,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://doi.org/10.7287/peerj.preprints.1265v1,Superchords: decoding EEG signals in the millisecond range,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.mdpi.com/2073-4441/15/3/475,Water-Quality Prediction Based on H2O AutoML and Explainable AI Techniques,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.variancejournal.org/articlespress/articles/Machine-Spedicato.pdf,Machine Learning Methods to Perform Pricing Optimization.  A Comparison with Standard GLMs,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.pavel.cool/h2o-3/h2o-parallel-grid-search/,Parallel Grid Search in H2O,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.sciencedirect.com/science/article/abs/pii/S1352231022002291?dgcid=coauthor,Which model to choose? Performance comparison of statistical and machine learning models in predicting PM2.5 from high-resolution satellite aerosol optical depth,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://redoakstrategic.com/h2oaws/,Analytics at Scale: h2o, Apache Spark and R on AWS EMR,https://github.com/h2oai/awesome-h2o#readme,H2O error: <HTTPError 404: 'Not Found'> | reason: Not Found
