https://projects.spring.io/spring-hadoop/,Spring for Apache Hadoop,https://github.com/rayokota/awesome-hbase#readme,HBase error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://ngdata.github.io/hbase-indexer/,Lily HBase Indexer,https://github.com/rayokota/awesome-hbase#readme,HBase error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://blogs.apache.org/hbase/,Blog,https://github.com/rayokota/awesome-hbase#readme,HBase error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://hbase.apache.org/mail-lists.html,Mailing Lists,https://github.com/rayokota/awesome-hbase#readme,HBase error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://camel.apache.org/hbase.html,Camel,https://github.com/rayokota/awesome-hbase#readme,HBase error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.packtpub.com/big-data-and-business-intelligence/hbase-administration-cookbook,HBase Administration Cookbook,https://github.com/rayokota/awesome-hbase#readme,HBase error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/big-data-and-business-intelligence/hbase-essentials,HBase Essentials,https://github.com/rayokota/awesome-hbase#readme,HBase error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/big-data-and-business-intelligence/hbase-design-patterns,HBase Design Patterns,https://github.com/rayokota/awesome-hbase#readme,HBase error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/big-data-and-business-intelligence/learning-hbase,Learning HBase,https://github.com/rayokota/awesome-hbase#readme,HBase error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/big-data-and-business-intelligence/hbase-high-performance-cookbook,HBase High Performance Cookbook,https://github.com/rayokota/awesome-hbase#readme,HBase error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.cloudera.com/documentation/enterprise/latest/topics/impala_hbase.html,Impala,https://github.com/rayokota/awesome-hbase#readme,HBase error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.splicemachine.com,Splice Machine,https://github.com/rayokota/awesome-hbase#readme,HBase error: URLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)')) | reason: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)
https://azure.microsoft.com/en-us/services/hdinsight/,Azure HDInsight,https://github.com/rayokota/awesome-hbase#readme,HBase error: TimeoutError('The read operation timed out') | reason: 
http://www.apress.com/us/book/9781484224236,Apache HBase Primer,https://github.com/rayokota/awesome-hbase#readme,HBase error: TimeoutError('The read operation timed out') | reason: 
