https://www.nextplatform.com/category/hpc/,The Next Platform,https://github.com/dstdev/awesome-hpc#readme,HPC error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://github.com%60ubccr/grendel,Source Code,https://github.com/dstdev/awesome-hpc#readme,HPC error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.nersc.gov/research-and-development/user-defined-images/,Shifter,https://github.com/dstdev/awesome-hpc#readme,HPC error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.quobyte.com/storage-for/high-performance-computing-hpc?gclid=EAIaIQobChMI-fv1pfKG8wIV5x6tBh367Q5CEAAYASABEgJTgPD_BwE,Quobyte,https://github.com/dstdev/awesome-hpc#readme,HPC error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://pearc.acm.org/,Pearc,https://github.com/dstdev/awesome-hpc#readme,HPC error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.intel.com/content/www/us/en/developer/tools/oneapi/mpi-library.html,Intel-MPI,https://github.com/dstdev/awesome-hpc#readme,HPC error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://git.whamcloud.com/fs/lustre-release.git,Source Code,https://github.com/dstdev/awesome-hpc#readme,HPC error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://software.intel.com/content/www/us/en/develop/articles/intel-mpi-benchmarks.html,Intel MPI Benchmarks,https://github.com/dstdev/awesome-hpc#readme,HPC error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/conference/ccgrid,CCGrid,https://github.com/dstdev/awesome-hpc#readme,HPC error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://git.kernel.dk/cgit/fio/,Source Code,https://github.com/dstdev/awesome-hpc#readme,HPC error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.openpbs.org/,OpenPBS,https://github.com/dstdev/awesome-hpc#readme,HPC error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://tools.bsc.es/paraver,Paraver,https://github.com/dstdev/awesome-hpc#readme,HPC error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.exascaleproject.org/podcast/,Exascaler Project,https://github.com/dstdev/awesome-hpc#readme,HPC error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://slurm.schedmd.com/slurm_ug_agenda.html,Slurm,https://github.com/dstdev/awesome-hpc#readme,HPC error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://insidehpc.com/category/resources/hpc-podcast/,@HPCpodcast,https://github.com/dstdev/awesome-hpc#readme,HPC error: URLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)')) | reason: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)
https://www.hpcwire.com/,HPCWire,https://github.com/dstdev/awesome-hpc#readme,HPC error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://insidehpc.com/,InsideHPC,https://github.com/dstdev/awesome-hpc#readme,HPC error: URLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)')) | reason: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)
https://linux.die.net/man/1/pdsh,pdsh,https://github.com/dstdev/awesome-hpc#readme,HPC error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://ieee-hpec.org/,IEEE-HPEC,https://github.com/dstdev/awesome-hpc#readme,HPC error: TimeoutError('The read operation timed out') | reason: 
