http://html5gamedevelopment.com/,Info, news and tutorials,https://github.com/diegocard/awesome-html5#readme,HTML5 error: RemoteDisconnected('Remote end closed connection without response') | reason: 
http://w3c.github.io/developers/tools/,W3C quality tools,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://beta.html5test.com/,HTML5 test,https://github.com/diegocard/awesome-html5#readme,HTML5 error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://www.tutorialspark.com/html5/HTML5_WebSockets.php,HTML5 Web Sockets API,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 520: '<none>'> | reason: <none>
https://html5-game-development.zeef.com/andre.antonio.schmitz,Over 380 resources on HTML5 game development,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://www.innoarchitech.com/what-is-webrtc-and-how-does-it-work/,What is WebRTC and how does it work,https://github.com/diegocard/awesome-html5#readme,HTML5 error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.html5canvastutorials.com/,Various Tutorials,https://github.com/diegocard/awesome-html5#readme,HTML5 error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.w3.org/2014/06/w3c-highlights/,W3C Highlights form June 2014,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://diveinto.html5doctor.com/,Dive Into HTML5,https://github.com/diegocard/awesome-html5#readme,HTML5 error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://keenhtml.com,Keen HTML,https://github.com/diegocard/awesome-html5#readme,HTML5 error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://code.tutsplus.com/tutorials/html5-apps-positioning-with-geolocation--mobile-456,HTML5 Apps: Positioning with Geolocation,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 410: 'Gone'> | reason: Gone
http://www.w3.org/TR/WebCryptoAPI/,Web Cryptography API draft,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://creative-punch.net/2014/10/intro-html5-speech-synthesis-api/,Intro to the HTML5 Speech Synthesis API,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://hayato.io/2016/shadowdomv1/,What's New in Shadow DOM v1 (by examples),https://github.com/diegocard/awesome-html5#readme,HTML5 error: URLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1018)')) | reason: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1018)
https://cloudfour.com/thinks/the-business-case-for-progressive-web-apps/,The Business Case for Progressive Web Apps,https://github.com/diegocard/awesome-html5#readme,HTML5 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
