https://akello.io,Akello,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.ihris.org/toolkit-new/,IHRIS,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.ihris.org'. (_ssl.c:1018)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.ihris.org'. (_ssl.c:1018)
https://www.opensafely.org,OpenSAFELY,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://healthcare.ai,Healthcare.ai,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://medintux.org/,MedinTux,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://www.labkey.com/products-services/labkey-server/,LabKey Server,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://openlmis.org,OpenLMIS,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://sourceforge.net/projects/openhospital/,Open Hospital,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dicom.offis.de/dcmtk.php.en,DCMTK,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.openmhealth.org,Open mHealth,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://www.mitk.org/wiki/The_Medical_Imaging_Interaction_Toolkit_(MITK),MITK,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://ehubio.ehu.eus/wregex/,Wregex,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
http://www.caisis.org/,Caisis,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: URLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.caisis.org'. (_ssl.c:1018)")) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.caisis.org'. (_ssl.c:1018)
https://hosxp.net/wordpress/,HOSxP,https://github.com/kakoni/awesome-healthcare#readme,Healthcare error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
