https://syslog.ravelin.com/2fa-is-missing-a-key-feature-c781c3861db,2FA is missing a key feature,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://news.ycombinator.com/item?id=20109360,How to change the hashing scheme of already hashed user's passwords,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://blog.bren2010.io/blog/googles-macaroons,Google's Macaroons in Five Minutes or Less,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://archive.ph/hvjKl,How Uber Got Lost,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://news.ycombinator.com/item?id=16749140,shorter summary,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://news.ycombinator.com/item?id=16759383,Tidbits on AWS Cloud HSM hardware,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://ai.google/research/pubs/pub41892,Macaroons: Cookies with Contextual Caveats for Decentralized Authorization in the Cloud,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://medium.facilelogin.com/jwt-jws-and-jwe-for-not-so-dummies-b63310d201a3,JWT, JWS and JWE for Not So Dummies!,https://github.com/kdeldycke/awesome-iam#readme,IAM error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://ai.google/research/pubs/pub48190,Zanzibar: Google's Consistent, Global Authorization System,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://news.ycombinator.com/item?id=14294463,Google paper's author compares Macaroons and JWTs,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://archive.ph/AhNAI,Hackers Hit Twitter C.E.O. Jack Dorsey in a 'SIM Swap.' You're at Risk, Too.,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://ucarion.com/iam-operation-syntax,GCP's IAM syntax is better than AWS's,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.ubisecure.com/uncategorized/difference-between-saml-and-oauth/,The Difference Between SAML 2.0 and OAuth 2.0,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.useronboard.com/user-onboarding-teardowns/,User Onboarding Teardowns,https://github.com/kdeldycke/awesome-iam#readme,IAM error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://blog.sqreen.com/demystifying-radix-trees/,How Radix trees made blocking IPs 5000 times faster,https://github.com/kdeldycke/awesome-iam#readme,IAM error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://www.quora.com/How-do-sites-prevent-vanity-URLs-from-colliding-with-future-features,#4,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://medium.com/google-cloud/what-is-beyondcorp-what-is-identity-aware-proxy-de525d9b3f90,What is BeyondCorp? What is Identity-Aware Proxy?,https://github.com/kdeldycke/awesome-iam#readme,IAM error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://freedom-to-tinker.com/2018/04/09/four-cents-to-deanonymize-companies-reverse-hashed-email-addresses/,Four cents to deanonymize: Companies reverse hashed email addresses,https://github.com/kdeldycke/awesome-iam#readme,IAM error: URLError(OSError(10051, 'A socket operation was attempted to an unreachable network', None, 10051, None)) | reason: [WinError 10051] A socket operation was attempted to an unreachable network
