http://www.w3.org/TR/wsdl20,WSDL,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gartner.com/doc/code/345694,Gartner Magic Quadrant for Intelligent Business Process Management Suites,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.gartner.com/doc/code/464068,Gartner Critical Capabilities for Data Integration Tools,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gartner.com/doc/code/450251,Gartner Magic Quadrant for Data Integration Tools,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gartner.com/doc/code/434187,Gartner Critical Capabilities for Enterprise Integration Platform as a Service,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.workfusion.com/platform/,WorkFusion,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gartner.com/doc/code/397953,Gartner Magic Quadrant for Enterprise Integration Platform as a Service,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/xml11/,XML,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gartner.com/doc/code/465756,Gartner Critical Capabilities for Robotic Process Automation,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gartner.com/doc/code/441474,Gartner Magic Quadrant for Robotic Process Automation,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://wso2.com/training/certification/certified-api-manager-expert/,WSO2 Certified API Manager Expert - V3,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sap.com/products/process-orchestration.html,SAP Process Orchestration,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.make.com,Make (Integromat),https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/soap/,SOAP,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://wso2.com/training/certification/certified-enterprise-integrator-developer-micro-integrator/,WSO2 Certified Enterprise Integrator Developer - V7 - Micro Integrator,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.apollographql.com/tutorials/exams/apollo-graph-associate,Apollo Graph Developer - Associate Certification,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.gartner.com/doc/code/468184,Gartner Critical Capabilities for Full Life Cycle API Management,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gartner.com/doc/code/464116,Gartner Magic Quadrant for Full Life Cycle API Management,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://wso2.com/training/certification/certified-enterprise-integrator-developer-streaming-integrator/,WSO2 Certified Enterprise Integrator Developer - V7 - Streaming Integrator,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://tyk.io/api-lifecycle-management/,Tyk API Management,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gartner.com/doc/code/292486,Gartner Critical Capabilities for Intelligent Business Process Management Suites,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developers.redhat.com/products/fuse/overview,Red Hat Fuse,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.reltio.com/products/multidomain-mdm,Reltio,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.apollographql.com/tutorials/certifications/apollo-graph-professional,Apollo Graph Developer - Professional Certification,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://wso2.com/training/certification/certified-enterprise-integrator6-expert/,WSO2 Certified Enterprise Integrator Expert - V6,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.sap.com/products/master-data-governance.html,SAP Master Data Governance,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/xmlschema11-1/,XML Schema,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://wso2.com/training/certification/certified-api-manager-developer/,WSO2 Certified API Manager Developer - V3,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://businessnetwork.opentext.com/enterprise-data-management/,OpenText Alloy,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 444: 'Unknown'> | reason: Unknown
https://www.sap.com/products/technology-platform/integration-suite.html,SAP Integration Suite,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.snaplogic.com/products/intelligent-integration-platform,SnapLogic Intelligent Integration Platform,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.axway.com/en/products/amplify-api-management-platform,Amplify API Management Platform,https://github.com/stn1slv/awesome-integration#readme,Integration error: URLError(OSError(10051, 'A socket operation was attempted to an unreachable network', None, 10051, None)) | reason: [WinError 10051] A socket operation was attempted to an unreachable network
https://www.goanywhere.com/products/goanywhere-mft,GoAnywhere MFT,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.globalscape.com/eft,GlobalSCAPE EFT,https://github.com/stn1slv/awesome-integration#readme,Integration error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
