https://marketplace.visualstudio.com/items?itemName=jgw9617.ionic2-vscode,Ionic2-vscode,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://enappd.com/blog/how-to-create-an-ionic-4-app-for-beginners/13,Build a basic mobile app with Ionic 4,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://enappd.com/blog/implement-ionic-4-firebase-push/34,Push notifications in Ionic 4 apps,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://courses.devdactic.com/courses/ionic-2-in-one-hour?product_id=104238,Ionic in One Hour,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: URLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)')) | reason: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
https://enappd.com/blog/twitter-login-in-ionic-4-apps-using-firebase/24,Twitter Login in Ionic 4 App using Firebase,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://gonehybrid.com/how-to-use-pouchdb-sqlite-for-local-storage-in-ionic-2/,How To Use PouchDB + SQLite For Local Storage In Ionic,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://enappd.com/blog/email-authentication-with-firebase-in-ionic-4/38,Basic Email Login in Ionic 4 App using Firebase,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://enappd.com/blog/how-to-translate-in-ionic-4-globalization-internationalization-and-localization/11,Internationalize and Localize Your Ionic 4 App,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://enappd.com/blog/using-geolocation-geocoding-and-reverse-geocoding-in-ionic-4/45,Geolocation, geocoding and reverse geocoding in Ionic 4,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.packtpub.com/application-development/hybrid-mobile-development-ionic,Hybrid Mobile Development with Ionic,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://enappd.com/blog/rtl-right-to-left-use-in-ionic-4/50,RTL (right-to-left) layout in Ionic 4 apps,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://enappd.com/blog/facebook-login-in-ionic-4-apps-using-firebase/25,Facebook Login in Ionic 4 App using Firebase,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.udemy.com/ionic-2-quickstart/,Ionic Quickstart,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.packtpub.com/web-development/ionic-2-blueprints,Ionic Blueprints,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://enappd.com/blog/ionic-4-paypal-payment-integration-for-apps-and-pwa/16,Ionic 4 PayPal Payment Integration,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://enappd.com/blog/ionic-4-stripe-payment-integration-with-firebase-for-apps-and-pwa/17,Ionic 4 Stripe Payment Integration,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://badge.fury.io/js/ionic-framework,,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://enappd.com/blog/firebase-anonymous-login-in-ionic-4/37,Anonymous Login in Ionic 4 App using Firebase,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://mcgivery.com/understanding-ionic-2-pipe/,Understanding Ionic: Pipe,https://github.com/candelibas/awesome-ionic#readme,Ionic Framework 2 error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
