https://jsonschema.net//,JSONSchema.net,https://github.com/burningtree/awesome-json#readme,JSON error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://www.schemastore.org/json/,JSON Schema Store,https://github.com/burningtree/awesome-json#readme,JSON error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://ubjson.org/,UBJSON,https://github.com/burningtree/awesome-json#readme,JSON error: RemoteDisconnected('Remote end closed connection without response') | reason: 
http://www.jsontest.com/,JSON Test,https://github.com/burningtree/awesome-json#readme,JSON error: <HTTPError 530: '<none>'> | reason: <none>
https://marketplace.visualstudio.com/items?itemName=j-brooke.fracturedjsonvsc,FracturedJsonVsc,https://github.com/burningtree/awesome-json#readme,JSON error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.jsonbinpack.org,JSON BinPack,https://github.com/burningtree/awesome-json#readme,JSON error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.npmjs.com/package/deepjson/,deepjson,https://github.com/burningtree/awesome-json#readme,JSON error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://jsonperf.com,JSONPerf,https://github.com/burningtree/awesome-json#readme,JSON error: URLError(SSLError(1, '[SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1018)')) | reason: [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1018)
https://www.npmjs.com/package/fracturedjsonjs,FracturedJsonJs,https://github.com/burningtree/awesome-json#readme,JSON error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://amundsen.com/media-types/collection/,Collection+JSON,https://github.com/burningtree/awesome-json#readme,JSON error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.json2yaml.com/,json2yaml,https://github.com/burningtree/awesome-json#readme,JSON error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
