https://www.gnu.org/software/auctex/,AucTeX,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.johndcook.com/,John D. Cook,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://equalx.sourceforge.io/,EqualX,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.gnu.org/software/auctex/reftex,RefTeX,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://klatexformula.sourceforge.io,KLaTeXFormula,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://latexdraw.sourceforge.net/,LaTeXDraw,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://vim-latex.sourceforge.net,Vim-LaTeX,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://marketplace.visualstudio.com/items?itemName=valentjn.vscode-ltex,LTeX,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://latexeqedit.sourceforge.net/,LaTeXEqEdit,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.authorea.com,Authorea,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://bibdesk.sourceforge.net,Bibdesk,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://mirrors.ctan.org/info/symbols/comprehensive/symbols-letter.pdf,letter,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.gnu.org,GNU/Linux,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.cs.stir.ac.uk/~kjt/software/latex/showbst.html,BibTeX Style Examples,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://kile.sourceforge.io,Kile,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://pgfplots.sourceforge.net,pgfplots,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://xetex.sourceforge.net,XeTeX,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://freshmeat.sourceforge.net/projects/csv2latex,csv2latex,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://tex.world/,TeX World,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://www.tikzedt.org,TikzEdt,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: URLError(SSLError(1, '[SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)')) | reason: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1018)
https://www.nongnu.org/chktex/,ChkTeX,https://github.com/egeerardyn/awesome-LaTeX#readme,LaTeX error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
