https://letsmakegames.info/game-dev-resources,Game Dev Resources,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.si.edu/openaccess,Smithsonian Open Access,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://docs.google.com/document/d/1H34_z043mJrLahXw7fCgwf5w4ZWyrB2GBE9XAXufjmQ/edit,GameDev Jobs (2022),https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 410: 'Gone'> | reason: Gone
http://liu.diva-portal.org/smash/get/diva2:462098/FULLTEXT01.pdf,A comparison of 3D file formats,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://saint11.org/pixel_articles/,Articles,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://docs.google.com/spreadsheets/d/e/2PACX-1vRYveFAl_GuvBo0iuy3EvgPm0fWAGci-Z8e5CZ6hoYz9n8gcoK4dgE0RML-x0pWqRNjGqte-V7phtqB/pubhtml,GameDev Contacts,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 410: 'Gone'> | reason: Gone
https://www.procedural-worlds.com/blog/best-free-unity-assets-categorised-mega-list/,Free Unity Assets,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.gamedevmap.com,GameDevMap,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 307: 'Temporary Redirect'> | reason: Temporary Redirect
https://www.screenskills.com/job-profiles/browse/games/production/games-producer-games/,What is a Games Producer?,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.brendanmeachen.com/soloartist,Radiorunner's Curriculum for the Solo Artist,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://users.cg.tuwien.ac.at/zsolnai/gfx/rendering-course/,Rendering Course,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.shadertoy.com/,Shadertoy,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://designoriented.net/wheel,Design Oriented Topic Wheel,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://hitmarker.net/career-advice/the-complete-list-of-gaming-esports-jobs,The Complete List of Gaming Jobs,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://mitpress.mit.edu/9780262046305/,Introduction to Algorithms,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://publicdomaintextures.com/,More Textures,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: TimeoutError('The read operation timed out') | reason: 
https://web.archive.org/web/20220815160724/http://db-design.splashdamage.com.s3-eu-west-1.amazonaws.com/the_art_of_dirty_bomb.pdf,Art,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: TimeoutError('The read operation timed out') | reason: 
https://www.udemy.com/course/unrealmultiplayer/,Unreal Multiplayer by GameDev.tv,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.udemy.com/course/unity-multiplayer/,Unity Multiplayer by GameDev.tv,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://web.archive.org/web/20220815160819/https://www.giantsparrow.com/blog/news/wp-content/uploads/2018/04/Finch-Original-Concept-Doc.pdf,Finch Concept Doc,https://github.com/notpresident35/awesome-learn-gamedev#readme,Learn Gamedev error: TimeoutError('The read operation timed out') | reason: 
