https://suzan.rbind.io/2018/02/dplyr-tutorial-3/,Data Wrangling Part 3: Basic and more advanced ways to filter rows,https://github.com/iamericfletcher/awesome-r-learning-resources#readme,Learning error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://suzan.rbind.io/2018/04/dplyr-tutorial-4/,Data Wrangling Part 4: Summarizing and slicing your data,https://github.com/iamericfletcher/awesome-r-learning-resources#readme,Learning error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.youtube.com/c/TheLearnR/videos,Numyard,https://github.com/iamericfletcher/awesome-r-learning-resources#readme,Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://discourse.looker.com/t/get-latitude-longitude-for-any-location-through-google-sheets-and-plot-these-in-looker/5402,Getting latitude & longitude for any address,https://github.com/iamericfletcher/awesome-r-learning-resources#readme,Learning error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://www.avery-robbins.com,Avery Robbins,https://github.com/iamericfletcher/awesome-r-learning-resources#readme,Learning error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://rstudio.github.io/shiny/tutorial/,Building Shiny Applications with R Tutorial (Deprecated),https://github.com/iamericfletcher/awesome-r-learning-resources#readme,Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://nostarch.com/bookofr,Exercise solutions,https://github.com/iamericfletcher/awesome-r-learning-resources#readme,Learning error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://otexts.com/fpp3/,Forecasting: Principles and Practice,https://github.com/iamericfletcher/awesome-r-learning-resources#readme,Learning error: RemoteDisconnected('Remote end closed connection without response') | reason: 
http://faculty.marshall.usc.edu/gareth-james/ISL/ISLR%20Seventh%20Printing.pdf,An Introduction to Statistical Learning,https://github.com/iamericfletcher/awesome-r-learning-resources#readme,Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://suzan.rbind.io/2018/01/dplyr-tutorial-1/,Data Wrangling Part 1: Basic to Advanced Ways to Select Columns,https://github.com/iamericfletcher/awesome-r-learning-resources#readme,Learning error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://suzan.rbind.io/2018/02/dplyr-tutorial-2/,Data Wrangling Part 2: Transforming your columns into the right shape,https://github.com/iamericfletcher/awesome-r-learning-resources#readme,Learning error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.williamrchase.com/work/art/,12 Months of aRt,https://github.com/iamericfletcher/awesome-r-learning-resources#readme,Learning error: <HTTPError 404: 'Not Found'> | reason: Not Found
