https://spin.atomicobject.com/2014/09/12/testing-marionette-js-behaviors/,Marionette.js Behaviors, Part 2: Testing Behaviors,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://blog.marionettejs.com/,Marionette.js Blog,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://lostechies.com/derickbailey/2012/06/13/why-should-i-use-backbone-marionette-instead-of-%E2%80%A6/,Why Should I Use Backbone.Marionette Instead of … ?,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://iamnotarealprogrammer.com/flux-architecture-in-a-backbone-and-marionette-app/,Building a Marionette App with Flux Architecture,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://authenticff.com/journal/building-large-scale-backbone-marionette-applications,Things I Learned from Building a Large Scale Backbone + Marionette Application,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://gitter.im/marionettejs/backbone.marionette,Gitter chat,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://davidsulc.com/blog/2012/04/22/a-simple-backbone-marionette-tutorial-part-2/,A Simple Backbone.Marionette tutorial: Application with Interactions,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://shop.smashingmagazine.com/products/better-backbone-applications-with-marionettejs,Better Backbone Applications with MarionetteJS,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.artandlogic.com/blog/2013/03/a-visual-guide-to-marionette-js-views/,A Visual Guide To Marionette.js Views,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.artandlogic.com/blog/2013/06/representing-marionette-js-views-with-state/,Representing Marionette.js Views With State,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://davidsulc.com/blog/2012/05/06/tutorial-a-full-backbone-marionette-application-part-1/,A Simple Backbone.Marionette tutorial: Application. Simple List,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
http://scm.io/blog/hack/2014/09/backbone-marionette/,Pimping Backbone with Marionette,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://spin.atomicobject.com/2013/11/25/forms-marionette-js-backbone/,Handling Forms with Marionette.js,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://davidsulc.com/blog/2013/02/03/tutorial-nested-views-using-backbone-marionettes-compositeview/,Tutorial: Nested Views Using Backbone Marionette's CompositeView,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://spin.atomicobject.com/2014/09/11/marionette-behaviors-overview/,Marionette.js Behaviors, Part 1: The Basics,https://github.com/sadcitizen/awesome-marionette#readme,Marionette.js error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
