https://blog.toggl.com/recover-from-burnout,Why Burnout Is Dangerous And How You Can Recover From It (It's Possible),https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.thriveglobal.com/stories/38629-how-to-advocate-for-yourself-at-work,Sorry, Not Sorry - How To Advocate For Your Mental Health At Work,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.calm.com,Calm,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://developersuccesslab.gitbook.io/code-review-anxiety-workbook/,Code Review Anxiety Workbook,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://liberationist.org/how-to-move-your-organization-from-fear-to-fearlessness/,How To Move Your Organization From Fear To Fearlessness,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.equoogame.com,eQuoo,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.researchgate.net/publication/319064487_Overcoming_Public_Speaking_Anxiety_of_Software_Engineers_Using_Virtual_Reality_Exposure_Therapy,Overcoming Public Speaking Anxiety Of Software Engineers Using Virtual Reality Exposure Therapy,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://vimeo.com/105802592,A Conversation About Mental Health In Tech - Distill 2014,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://everybodyhasabrain.com/,Everybody Has A Brain,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
https://medium.com/@jameslave/hunting-for-a-web-developer-job-with-crushing-anxiety-and-no-self-esteem-3aa64d67a0a4,Hunting For A Web Developer Job... With Crushing Anxiety And No Self-Esteem,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.hackmentalhealth.care,Hack Mental Health,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.airpair.com/javascript/posts/tips-for-dealing-with-developer-stress,Tips For Dealing With Developer Stress,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://mymoodpath.com/en/,Moodpath,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.sciencedirect.com/science/article/pii/S0164121218300323,What Happens When Software Developers Are (un)Happy,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 400: 'Bad Request'> | reason: Bad Request
https://mentalhealth-kb.net/,Mental Health Knowledge Base,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://kierantie.com/burnout,Recovering From Burnout,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://sanvello.com,Sanvello,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://three-good-things.glitch.me/,Three Good Things,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: <HTTPError 410: 'Gone'> | reason: Gone
http://weareanxio.us,we are ANXIO.us,https://github.com/dreamingechoes/awesome-mental-health#readme,Mental Health error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
