https://www.goodreads.com/book/show/26831944-the-age-of-em,3.41,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/36739769-the-third-door,4.28,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/25776132.the-brain,4.20,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/46015758-if-it-bleeds,4.10,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,3.80,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything,4.19,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tales,4.05,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/98233.Founders_at_Work,3.94,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/44525305-the-ride-of-a-lifetime,4.44,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/181239.Metamagical_Themas,4.16,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/4610.Catch_22,3.98,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/2068.Darwin_s_Dangerous_Idea,4.03,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/59142.Eug_nie_Grandet,3.79,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://www.goodreads.com/book/show/629.Zen_and_the_Art_of_Motorcycle_Maintenance,3.76,https://github.com/hackerkid/Mind-Expanding-Books#readme,Mind Expanding Books error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
