https://www.curseforge.com/minecraft/mc-mods/baubles,Baubles,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://minecraft.wiki/,Official Minecraft Wiki,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/carpenters-blocks,Carpenter's Blocks,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/cauldron-unofficial/files/,Cauldron,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://minecraft.curseforge.com/projects/rftools,RFTools,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/chisel,Chisel,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/betterfps,BetterFps,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/ender-io,Ender IO,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/diet-hoppers,Diet Hopper,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://minecraft.curseforge.com/projects/jei,Just Enough Items (JEI),https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/bibliocraft,Bibliocraft,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/dank-null,/dank/null,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://minecraft.curseforge.com/projects/tinkers-construct,Tinkers Construct,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/astral-sorcery,Astral Sorcery,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/kcauldron/files/,KCauldron,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://eimerarchive.org/,Eimer Archive,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 523: '<none>'> | reason: <none>
https://www.curseforge.com/minecraft/texture-packs/lb-photo-realism-reload,LB Photo Realism Reload,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/akashic-tome,Akashic Tome,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/block-helper,Block Helper,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.curseforge.com/minecraft/mc-mods/warpdrive,WarpDrive,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.planetminecraft.com/forums/,Planet Minecraft,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://mcdoc.openm.tech/,MCDOC,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.curseforge.com/minecraft/customization/chocapic13-shaders,Chocapic13,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://mcbeeringi.github.io/esbe-2g/,ESBE 2G,https://github.com/bs-community/awesome-minecraft#readme,Minecraft error: <HTTPError 404: 'Not Found'> | reason: Not Found
