https://www.w3.org/TR/mwabp/,Mobile Web Application Best Practices,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/vibration/,Vibration API,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/wake-lock/,Wake Lock Api,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/notifications/,Web Notifications,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/battery-status/,Battery API,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/generic-sensor/,Generic Sensor API,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/geolocation-API/,Geolocation API,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/html-media-capture/,HTML Media Capture,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/payment-request/,Payment Request API,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/presentation-api/,Presentation API,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/WCAG21/,Web Content Accessibility Guidelines (WCAG),https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/TR/remote-playback/,Remote Playback API,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.toptal.com/android/developing-mobile-web-apps-when-why-and-how,Developing Mobile Web Applications: When, Why, and How,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://mobisocial.stanford.edu/papers/boneh-www2012.pdf,Who Killed My Battery,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://cloudfour.com/thinks/autofill-what-web-devs-should-know-but-dont/,Autofill: What web devs should know, but don’t,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://ampbyexample.com,Learn AMP by Example,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: URLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)')) | reason: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1018)
https://kryogenix.org/code/browser/everyonehasjs.html,Everyone has JavaScript, right?,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://blog.algolia.com/mobile-search-ux-8-obstacles/,Mobile Search UX 8 Obstacles,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.w3.org/TR/mobile-bp/,Mobile Web Best Practices,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://webpagetest.org,Webpagetest,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.w3.org/Mobile/mobile-web-app-state,Standards for Web Applications on Mobile,https://github.com/myshov/awesome-mobile-web-development#readme,Mobile Web Development error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
