http://www.cminusminus.org/,Quick C-- Target Language,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://gitlab.inria.fr/why3/why3,WHY3,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.cs.tsukuba.ac.jp/~kam/papers/pepm2016a.pdf,Finally, Type-Safe, Extensible and Efficient Language Integrated Query,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://aantron.github.io/dream/,Dream,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://philtomson.github.io/blog/2014/07/09/core-dot-async-example/,Cooperative Concurrency in OCaml: A Core.Std.Async Example,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://facebook.github.io/reason/,Reason,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://www.progmat.uaem.mx:8080/artVol2Num2/Articulo3Vol2Num2.pdf,YIQ NTSC transmission image difference alghoritm,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://dannywillems.github.io/2016/07/14/ocaml-cordova-secured-typed-hybrid-mobile-applications.html,OCaml + Cordova = more secured, typed and hybrid mobile applications,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://freux.fr/oss/obandit.html,obandit,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://caml.inria.fr/pub/docs/manual-ocaml-4.01/lexyacc.html,ocamllex/ocamlyacc,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://betterocaml.ml,BetterOCaml,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://whitequark.org/blog/2014/04/16/a-guide-to-extension-points-in-ocaml/,A Guide to Extension Points in OCaml,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://inbox.ocaml.org/caml-list/,Official OCaml Mailing List,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://pleac.sourceforge.net/pleac_ocaml/index.html,Programming Language Examples Alike Cookbook,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.cduce.org/,cDuce,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1018)
http://llvm.org/docs/tutorial/OCamlLangImpl1.html,Kaleidoscope: Implementing a Language with LLVM in Objective Caml¶,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://coq.inria.fr/,Coq,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: URLError(SSLCertVerificationError(5, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.lexifi.com/ocaml/syntax-extensions-without-camlp4-lets-do-it/,Syntax extensions without Camlp4: let's do it!,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://alt-ergo.lri.fr/,Alt-Ergo,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://caml.inria.fr/pub/docs/manual-ocaml/browser.html,ocamlbrowser,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://bazel.build/,Bazel,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 302: 'The HTTP server returned a redirect error that would lead to an infinite loop.\nThe last 30x error message was:\nFound'> | reason: The HTTP server returned a redirect error that would lead to an infinite loop.
The last 30x error message was:
Found
http://functory.lri.fr/About.html,Functory,https://github.com/ocaml-community/awesome-ocaml#readme,OCaml error: <HTTPError 404: 'Not Found'> | reason: Not Found
