http://lfe.gitbooks.io/sicp/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 401: 'Unauthorized'> | reason: Unauthorized
http://www.groklaw.net/staticpages/index.php?page=20051013231901859,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 520: '<none>'> | reason: <none>
http://sourceforge.net/p/omegat/code/ci/master/tree/doc_src/,OmegaT,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://omegat.sourceforge.net/manual-standard/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://docutils.sourceforge.net/docs/ref/rst/restructuredtext.html,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.ccs.neu.edu/home/matthias/HtDP2e/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://mitpress.mit.edu/sicp/full-text/book/book.html,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://learnyouahaskell.com/chapters,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://facebook.github.io/react/docs/flux-overview.html,Flux Application Architecture,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://learnbyexample.gitbooks.io/python-basics/content/index.html,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 401: 'Unauthorized'> | reason: Unauthorized
http://docs.rapidminer.com/downloads/DataMiningForTheMasses.pdf,PDF,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://bonsaiden.github.io/JavaScript-Garden/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://learnbyexample.gitbooks.io/vim-reference/content/index.html,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 401: 'Unauthorized'> | reason: Unauthorized
https://exploreflask.com/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://learnbyexample.gitbooks.io/command-line-text-processing/content/,Site,https://github.com/44bits/awesome-opensource-documents#readme,Open Source Documents error: <HTTPError 401: 'Unauthorized'> | reason: Unauthorized
