https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1755-0998.2009.02692.x,Bensch et al. 2009,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://science.dmns.org/integrative-collections/dmns-zoology-collections/,Denver Museum of Nature and Science,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
http://hwml.unl.edu/resources/database-68,Harold W. Manter Laboratory of Parasitology Collection,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.journals.uchicago.edu/doi/full/10.1086/674445,Hadfield et al. 2013,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/,NHM Host-parasite database,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://nicholasjclark.weebly.com/uploads/4/4/9/4/44946407/wells_etal_2018_globchangbiol.pdf,Wells et al. 2018,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://apiv3.iucnredlist.org/api/v3/docs,API,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 525: '<none>'> | reason: <none>
https://www.nrm.se/english/researchandcollections/zoology/collections/invertebrates.305_en.html,Invertebrates Collection of the Swedish Museum of Natural History,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 404: ''> | reason: 
http://arctos.database.museum/SpecimenSearch.cfm,Arctos,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 401: 'Unauthorized'> | reason: Unauthorized
https://academic.oup.com/jmammal/article/99/1/1/4834091?login=false,Burgin et al. (2018),https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://esajournals.onlinelibrary.wiley.com/doi/full/10.1002/ecy.1680,Benesh et al. 2017, Ecology,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://content.sciendo.com/configurable/contentpage/journals$002fhelm$002fhelm-overview.xml,Helminthologia,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://pearl.berkeley.edu/,PEARL,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
https://www.depts.ttu.edu/nsrl/collections/Invertebrate_Zoology/index.php,Invertebrate Zoology collection of the Museum of Texas Tech University,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://www.gbif.org/dataset/13fdfab7-e281-428d-8c1f-e72eb7398e97,GBIF,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://jesp.journals.ekb.eg/,Journal of the Egyptian Society of Parasitology,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://eidr-connect.eha.io/events/auto,EIDR-Connect,https://github.com/ecohealthalliance/awesome-parasite#readme,Parasite error: URLError(SSLError(1, '[SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1018)')) | reason: [SSL: TLSV1_UNRECOGNIZED_NAME] tlsv1 unrecognized name (_ssl.c:1018)
