http://sourceforge.net/projects/lkjson,JSON delphi library,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/tplockbox,LockBox,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/tpapro,Async Professional,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/alcinoe,Alcinoe,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/openwireproject,OpenWire,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/fundementals,Fundamentals Code Library,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/dcpcrypt,DCPcrypt (fork #1),https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/comport,TComPort,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/saxforpascal,SAX for Pascal,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/kdsxml,KDS XML,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/tpxmlpartner,XML Partner,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://angusj.com/delphi/clipper.php,Clipper,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://sourceforge.net/projects/tcycomponents,Cindy components,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/tporpheus,Orpheus,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/image32,Image32,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/dpfdelphiandroid,D.P.F Delphi Android,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/dpfdelphiios,D.P.F Delphi iOS,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/kolmck,KOL,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://sourceforge.net/projects/zeoslib,ZeosLib,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/p/kol-ce,KOL-CE,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
http://mac.sourceforge.net/atl,Audio Tools Library,https://github.com/Fr0sT-Brutal/awesome-pascal#readme,Pascal error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
