https://doi.org/10.3390/e25091303,A Systematic Review on Password Guessing Tasks (2023),https://github.com/n0kovo/awesome-password-cracking#readme,Password Cracking error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/doi/10.1145/3673277.3673295,PassRVAE: Improved Trawling Attacks via Recurrent Variational Autoencoder (2024),https://github.com/n0kovo/awesome-password-cracking#readme,Password Cracking error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://dl.acm.org/doi/epdf/10.1145/3678890.3678919,Prob-Hashcat: Accelerating Probabilistic PasswordGuessing with Hashcat by Hundreds of Times (2024),https://github.com/n0kovo/awesome-password-cracking#readme,Password Cracking error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://jakewnuk.com/static/Leveling%20Up%20Password%20Attacks%20with%20Breach%20Data.pdf,BSides Cayman Islands 2023 - Leveling Up Password Attacks with Breach Data,https://github.com/n0kovo/awesome-password-cracking#readme,Password Cracking error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://doi.org/10.3390/electronics14071415,PassRecover: A Multi-FPGA System for End-to-End Offline Password Recovery Acceleration (2025),https://github.com/n0kovo/awesome-password-cracking#readme,Password Cracking error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://doi.org/10.14722/ndss.2026.241059,Success Rates Doubled with Only One Character: Mask Password Guessing (2025),https://github.com/n0kovo/awesome-password-cracking#readme,Password Cracking error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://hashkiller.io/,Hashkiller,https://github.com/n0kovo/awesome-password-cracking#readme,Password Cracking error: TimeoutError('The read operation timed out') | reason: 
https://www.researchgate.net/publication/220713709_Password_Cracking_Using_Probabilistic_Context-Free_Grammars,Password Cracking Using Probabilistic Context-Free Grammars (2009),https://github.com/n0kovo/awesome-password-cracking#readme,Password Cracking error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://sourceforge.net/projects/crunch-wordlist/,Crunch,https://github.com/n0kovo/awesome-password-cracking#readme,Password Cracking error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.mdpi.com/2076-3417/10/20/7306/htm,Generating Optimized Guessing Candidates toward Better Password Cracking from Multi-Dictionaries Using Relativistic GAN (2020),https://github.com/n0kovo/awesome-password-cracking#readme,Password Cracking error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://jakewnuk.com/posts/token-swapping-attack/,Smashing Hashes with Token Swapping Attacks,https://github.com/n0kovo/awesome-password-cracking#readme,Password Cracking error: <HTTPError 404: 'Not Found'> | reason: Not Found
