https://www.capterra.com/vendors/sign-up,https://www.capterra.com/vendors/sign-up,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://www.netted.net/contact-us/,https://www.netted.net/contact-us/,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.allstartups.info/Startups/Submit,https://www.allstartups.info/Startups/Submit,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1018)
https://alternativeto.net/,https://alternativeto.net/,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://www.f6s.com/,https://www.f6s.com/,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://fiddy.co,https://fiddy.co,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
https://thetechmap.com/,https://thetechmap.com/,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: RemoteDisconnected('Remote end closed connection without response') | reason: 
https://www.g2crowd.com/products/new,https://www.g2crowd.com/products/new,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://startupbuffer.com,https://startupbuffer.com,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://app.loopinput.com/,https://app.loopinput.com/,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: URLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)')) | reason: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1018)
https://getapp.com/,https://getapp.com/,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
https://stackshare.io/,https://stackshare.io/,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: <HTTPError 429: 'Too Many Requests'> | reason: Too Many Requests
https://www.builtinchicago.org/send-us-tip,https://www.builtinchicago.org/send-us-tip,https://github.com/mmccaff/PlacesToPostYourStartup#readme,Places to Post Your Startup error: <HTTPError 403: 'Forbidden'> | reason: Forbidden
