https://bitbucket.org/hlassiege/play-nemrod,Navigation,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://mvnrepository.com/artifact/com.google.code.maven-play-plugin.org.playframework.modules.rythm/play-rythm,![mavenized](http://img.shields.io/badge/ -mavenized-blue.svg?style=flat),https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://apps.ebay.com/,Open eBay Application,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
https://bitbucket.org/psartini/play-jersey,Jersey,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://code.google.com/p/spock/,Spock,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 500: 'Internal Server Error'> | reason: Internal Server Error
http://code.google.com/p/play-framework-objectify/,Objectify,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 503: 'Service Unavailable'> | reason: Service Unavailable
http://www.lunatech-labs.com/open-source/resteasy-crud-play-module,RESTEasy CRUD module,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.lunatech-labs.com/open-source/secure-permissions-play-module,Secure Permissions,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.lunatech-labs.com/open-source/resteasy-play-module,RESTEasy Play! module,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: URLError(gaierror(11002, 'getaddrinfo failed')) | reason: [Errno 11002] getaddrinfo failed
http://www.stax.net,http://www.stax.net,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: URLError(gaierror(11001, 'getaddrinfo failed')) | reason: [Errno 11001] getaddrinfo failed
http://mvnrepository.com/artifact/com.google.code.maven-play-plugin.org.playframework.modules.scala/play-scala,![mavenized](http://img.shields.io/badge/ -mavenized-blue.svg?style=flat),https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 404: 'Not Found'> | reason: Not Found
https://bitbucket.org/blobsmith/mocha/overview,Mocha,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 404: 'Not Found'> | reason: Not Found
http://akkasource.org,akka,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 520: '<none>'> | reason: <none>
http://www.javabeat.net/using-controllers-in-play-framework/,Using Play's controller,https://github.com/PerfectCarl/awesome-play1#readme,Play1 Framework error: <HTTPError 404: 'Not Found'> | reason: Not Found
